symbol,entry_time,exit_time,entry_price,exit_price,quantity,corporate_action_cash,pnl_pct,exit_reason
MELI,2017-12-19,2018-01-08,326.19301499999995,327.95594,31.0,4.6499999999999995,0.003855136280197957,Leader rotation
WYNN,2017-12-19,2018-01-23,166.032975,196.84153,59.0,0.0,0.1831881000130866,Leader rotation
MAR,2017-12-19,2018-01-24,133.94693999999998,146.04694,84.0,0.0,0.08815578707567306,Leader rotation
TTWO,2018-01-24,2018-01-30,117.39867,117.44125000000001,108.0,0.0,-0.0016360309034831877,Leader rotation
NVDA,2018-01-08,2018-02-06,220.5102,204.29780000000002,46.0,0.0,-0.07537332700522392,Supertrend down
ALGN,2018-01-23,2018-02-06,267.13349999999997,232.593645,39.0,0.0,-0.1310377678854674,Supertrend down
NFLX,2018-01-30,2018-02-09,277.13849999999996,253.723075,48.0,0.0,-0.08631916608767509,Supertrend down
CSCO,2018-02-16,2018-03-26,43.911944999999996,43.228375,1.0,0.0,-0.017533734377294663,Supertrend down
NVDA,2018-02-16,2018-03-28,245.5227,224.017935,125.0,18.75,-0.08880035586065205,Supertrend down
NFLX,2018-05-11,2018-07-18,329.814825,381.04938000000004,85.0,0.0,0.1530350176873423,Supertrend down
STX,2018-07-18,2018-07-31,58.259114999999994,54.332820000000005,25.0,0.0,-0.06925700953262104,Supertrend down
AMZN,2018-07-18,2018-09-18,1848.924,1917.6906750000003,11.0,0.0,0.0351204945145398,Supertrend down
ALGN,2018-07-18,2018-10-05,374.04693,356.0219,3.0,0.0,-0.05009094037353101,Supertrend down
ILMN,2018-08-28,2018-10-05,348.18400499999996,333.833,30.0,0.0,-0.04313237766622524,Supertrend down
ULTA,2018-12-04,2018-12-10,304.93238999999994,251.80403500000003,35.0,0.0,-0.17587984000333612,Supertrend down
ILMN,2018-12-04,2018-12-18,350.11496999999997,313.70307,31.0,0.0,-0.105790047653887,Supertrend down
ESRX,2018-12-10,2018-12-19,96.32813999999999,94.93251000000001,93.0,0.0,-0.016457344080923142,Supertrend down
ORLY,2018-12-04,2018-12-26,346.70496585,329.0969692,31.0,0.0,-0.052683217291731754,Supertrend down
PYPL,2019-01-10,2019-01-16,89.14455,91.67414000000001,106.0,0.0,0.026321574174920537,Leader rotation
VRSN,2019-01-10,2019-01-17,155.247585,160.549685,62.0,0.0,0.032086305294806605,Leader rotation
REGN,2019-01-10,2019-01-31,399.5996999999999,419.47016,24.0,0.0,0.04762855873569949,Leader rotation
LULU,2019-01-17,2019-02-04,141.800865,145.26733000000002,69.0,0.0,0.022399162264740813,Leader rotation
AMD,2019-01-31,2019-02-28,23.031509999999997,23.198395,439.0,0.0,0.005233463217981127,Leader rotation
REGN,2019-02-04,2019-03-04,429.13446,440.95941000000005,23.0,0.0,0.025502291794003762,Leader rotation
WDAY,2019-02-28,2019-03-05,197.60875499999997,180.23983500000003,52.0,0.0,-0.08971788497149069,Supertrend down
AMD,2019-03-05,2019-03-08,23.35167,21.339325000000002,408.0,0.0,-0.08800145831051953,Supertrend down
MELI,2019-03-04,2019-03-28,456.10794,496.9114200000001,22.0,0.0,0.08728339609700764,Leader rotation
AMD,2019-03-28,2019-04-11,25.11255,27.796095,427.0,0.0,0.10464920315353687,Leader rotation
XLNX,2019-01-16,2019-04-26,91.54575,115.46224000000001,106.0,38.16,0.2626603263769929,Supertrend down
WDAY,2019-04-11,2019-04-26,195.127515,199.850025,61.0,0.0,0.022155815650854338,Leader rotation
AVGO,2019-04-26,2019-05-09,309.30457499999994,299.85,79.0,0.0,-0.032504129300708895,Supertrend down
CDNS,2019-04-29,2019-05-21,68.45421,65.36730000000001,1.0,0.0,-0.0470024268193876,Supertrend down
SBUX,2019-03-08,2019-06-20,70.185075,84.367795,125.0,45.0,0.2047984323827161,Leader rotation
WLTW,2019-06-10,2019-07-08,187.48369499999998,194.40275,63.0,40.95,0.038296602626877174,Leader rotation
CDNS,2019-06-20,2019-07-11,72.55626,75.512225,126.0,0.0,0.03866091531697524,Leader rotation
WDAY,2019-07-08,2019-07-18,213.99694499999998,217.07141000000001,61.0,0.0,0.012340156954628423,Leader rotation
AMD,2019-07-11,2019-08-01,33.92695499999999,30.484750000000002,297.0,0.0,-0.1032545830124918,Supertrend down
CDNS,2019-07-18,2019-08-05,74.03699999999999,69.46525,179.0,0.0,-0.06362415695249246,Supertrend down
MELI,2019-06-10,2019-08-06,626.202945,588.235735,19.0,0.0,-0.06250770055676769,Supertrend down
EBAY,2019-08-01,2019-08-06,41.38068,39.190395,219.0,0.0,-0.05482238299400777,Supertrend down
WDC,2019-09-09,2019-10-02,62.151059999999994,57.78099505,1.0,0.0,-0.07217111813630261,Supertrend down
ATVI,2019-10-22,2019-11-13,55.697835,51.574200000000005,1.0,0.0,-0.07588590031632902,Supertrend down
KLAC,2019-09-06,2019-11-22,150.925425,160.389765,212.0,180.2,0.06621171865656028,Supertrend down
QCOM,2019-11-14,2019-11-27,90.355155,85.11742,1.0,0.0,-0.059850484183495256,Supertrend down
LULU,2019-11-22,2019-12-06,218.10899999999998,232.44372,14.0,0.0,0.06359341880902236,Leader rotation
AMD,2019-11-13,2019-12-12,36.668324999999996,39.3803,1.0,0.0,0.07181383610836045,Leader rotation
ASML,2019-11-27,2019-12-18,271.3356,294.682585,114.0,0.0,0.08387476102064606,Leader rotation
QCOM,2019-12-12,2020-01-28,86.88342,88.10592500000001,3.0,0.0,0.012044521104420225,Supertrend down
AMD,2019-12-18,2020-01-30,42.811395,46.466755000000006,740.0,0.0,0.08321427813014148,Supertrend down
TSLA,2020-02-05,2020-02-06,823.6716299999999,699.56954025,44.0,0.0,-0.15236633934953026,Supertrend down
AAPL,2019-12-06,2020-02-25,267.61374,300.799525,12.0,9.24,0.12463492239704421,Supertrend down
LRCX,2020-02-06,2020-02-25,326.16299999999995,305.66709000000003,39.0,0.0,-0.06471191844735091,Supertrend down
WDC,2020-02-06,2020-02-25,68.81439,63.59808505,23.0,0.0,-0.07764907966195733,Supertrend down
SGEN,2020-04-16,2020-04-20,127.06349999999999,138.87053,1.0,0.0,0.09073861812083273,Leader rotation
AMD,2020-04-15,2020-04-21,53.75686499999999,56.87155,203.0,0.0,0.055826461038428254,Leader rotation
JD,2020-04-22,2020-05-18,44.212095,51.854060000000004,1.0,0.0,0.1705044849043118,Leader rotation
AMD,2020-05-18,2020-05-21,55.00749,56.65166,1.0,0.0,0.027832207398117648,Leader rotation
JD,2020-05-21,2020-07-06,53.00648999999999,63.55820500000001,1.0,0.0,0.1966688528031304,Leader rotation
JD,2020-07-07,2020-08-20,62.961465,71.22437000000001,1.0,0.0,0.12897728104696404,Leader rotation
AMD,2020-08-20,2020-08-21,79.77986999999999,83.24835500000002,1.0,0.0,0.04139082478298928,Leader rotation
NVDA,2020-04-15,2020-09-08,277.3386,469.14531,81.0,25.92,0.6893704556558198,Supertrend down
TSLA,2020-04-21,2020-09-09,146.09711205,356.42179995000004,80.0,0.0,1.4347481171279495,Supertrend down
JD,2020-08-21,2020-09-11,74.59728,75.14241000000001,1.0,0.0,0.00529503642338347,Supertrend down
NVDA,2020-10-13,2020-10-29,572.14593,513.28323,77.0,0.0,-0.1046730174574183,Supertrend down
ZM,2020-10-13,2020-10-30,494.24699999999996,481.25925,45.0,0.0,-0.028223351771597627,Supertrend down
JD,2020-10-13,2020-11-11,84.14204999999998,79.4652475,2.0,0.0,-0.057469175320504995,Supertrend down
MELI,2020-11-06,2020-11-11,1434.69699,1273.752805,21.0,0.0,-0.11395378033751236,Supertrend down
ALGN,2020-11-11,2020-11-24,464.93235,482.76849500000003,28.0,0.0,0.03628823114248281,Leader rotation
QCOM,2020-11-11,2020-12-14,144.57225,144.82755,97.0,63.050000000000004,0.004255899144441244,Supertrend down
PDD,2020-11-06,2020-12-22,113.8569,147.22635000000002,270.0,0.0,0.2904987880272647,Leader rotation
MRNA,2020-12-14,2020-12-23,163.4817,119.989975,79.0,0.0,-0.2675006756706726,Supertrend down
PDD,2020-12-23,2021-02-09,142.071,191.31529450000002,67.0,0.0,0.3439269531385061,Leader rotation
PTON,2020-12-22,2021-02-18,159.2796,136.061935,256.0,0.0,-0.1474734807092809,Supertrend down
TSLA,2020-11-24,2021-02-23,540.67009995,661.798935,25.0,0.0,0.2215890234482618,Supertrend down
MRNA,2021-02-09,2021-02-25,186.303105,150.70461,67.0,0.0,-0.19269460437542407,Supertrend down
PDD,2021-02-18,2021-02-26,198.099,169.37527000000003,176.0,0.0,-0.14670514302380167,Supertrend down
AMAT,2021-04-06,2021-05-11,143.95193999999998,119.94000000000001,137.0,0.0,-0.16846997935311114,Supertrend down
LRCX,2021-04-06,2021-05-11,660.3299999999999,568.27572,55.0,0.0,-0.1411259461541592,Supertrend down
NXPI,2021-04-06,2021-05-13,212.716305,184.757575,2.0,0.0,-0.133172095124518,Supertrend down
AMAT,2021-06-11,2021-07-19,136.998465,125.12740500000001,122.0,0.0,-0.08847591690311851,Supertrend down
LRCX,2021-06-11,2021-07-19,641.9508149999999,577.701005,24.0,31.200000000000003,-0.09986023066819572,Supertrend down
PYPL,2021-07-19,2021-07-21,292.496175,296.34175500000003,30.0,0.0,0.011123183342204745,Leader rotation
ILMN,2021-07-21,2021-08-05,484.19197499999996,504.337705,44.0,0.0,0.03952577334174601,Leader rotation
AMAT,2021-08-05,2021-08-13,143.501715,129.065435,156.0,0.0,-0.102397054955078,Supertrend down
MRNA,2021-06-11,2021-08-31,212.00594999999998,375.72204500000004,73.0,0.0,0.768683150654011,Supertrend down
GOOG,2021-08-13,2021-09-21,2768.533575,2800.9388300000005,7.0,0.0,0.009683456203481322,Supertrend down
ASML,2021-07-19,2021-09-28,674.186925,794.44258,12.0,0.0,0.176016995787722,Supertrend down
NVDA,2021-08-31,2021-09-29,227.06347499999998,209.29030250000002,123.0,0.0,-0.08011563701540891,Supertrend down
FOXA,2021-10-20,2021-11-01,43.04151,40.019980000000004,3.0,0.0,-0.07205811320281263,Supertrend down
AMD,2021-11-01,2021-11-02,119.509725,124.91751000000001,1.0,0.0,0.043161337417809253,Leader rotation
MRVL,2021-11-02,2021-11-05,69.0345,71.964,2.0,0.0,0.04035251626673353,Leader rotation
TEAM,2021-10-19,2021-11-23,415.2075,397.3562225,44.0,0.0,-0.04490573033115586,Supertrend down
DXCM,2021-11-23,2021-11-24,612.5661299999999,589.695005,28.0,0.0,-0.03925998454763002,Supertrend down
