symbol,entry_time,exit_time,entry_price,exit_price,quantity,corporate_action_cash,pnl_pct,exit_reason,stop_level,stop_trigger
NVDA,2017-10-26,2017-11-29,194.87739,202.48909463496423,75.0,11.25,0.037751845758813296,Intraday protective stop,202.59038982987917,intraday
ALGN,2017-11-30,2017-12-04,260.08997999999997,242.29513041121663,44.0,0.0,-0.0702793538738059,Intraday protective stop,242.41633858050687,intraday
DLTR,2017-12-19,2018-01-08,109.57475999999998,110.70462,99.0,0.0,0.00829271219076344,Leader rotation,,
TTWO,2018-01-08,2018-01-22,116.55824999999999,117.711115,94.0,0.0,0.007873127445229944,Leader rotation,,
ALGN,2018-01-22,2018-01-30,269.77482,254.16488450585888,40.0,0.0,-0.05974522544841565,Intraday protective stop,254.29203052111941,intraday
ALGN,2018-01-31,2018-01-31,261.14050499999996,254.16488450585894,39.0,0.0,-0.028656766368762354,Intraday protective stop,254.29203052111947,intraday
NFLX,2018-02-01,2018-02-05,266.543205,253.60375671015026,51.0,0.0,-0.05044641487843371,Intraday protective stop,253.73062202116083,intraday
NVDA,2018-02-16,2018-03-02,245.5227,221.83342590744587,53.0,7.949999999999999,-0.09767996022726477,Intraday protective stop,221.9443981064991,intraday
STX,2018-03-05,2018-04-06,53.57677499999999,56.07075303036106,220.0,138.6,0.05620568209168186,Intraday protective stop,56.09880243157685,intraday
NFLX,2018-05-11,2018-06-25,329.814825,383.13453136665186,37.0,0.0,0.15934457405751168,Intraday protective stop,383.3261944638838,intraday
NFLX,2018-07-13,2018-07-17,409.394595,346.776525,35.0,0.0,-0.15464525170345766,Intraday protective stop,383.3261944638837,gap_open
AMZN,2018-07-18,2018-07-31,1848.924,1748.6179180629745,6.0,0.0,-0.05614066561473441,Intraday protective stop,1749.492664395172,intraday
ILMN,2018-08-28,2018-10-04,348.18400499999996,349.0175118749852,25.0,0.0,0.0003910839871044125,Intraday protective stop,349.19210792894967,intraday
XLNX,2018-12-04,2018-12-19,93.96696,85.22873980427853,94.0,0.0,-0.09480467802871972,Intraday protective stop,85.27137549202455,intraday
REGN,2019-01-10,2019-01-25,399.5996999999999,410.64457500000003,20.0,0.0,0.025586621608278293,Leader rotation,,
XLNX,2019-01-25,2019-03-08,105.97296,117.49447038947989,79.0,28.439999999999998,0.10989970047574316,Intraday protective stop,117.55324701298638,intraday
XLNX,2019-03-11,2019-04-25,120.56025,126.28682500000001,77.0,0.0,0.045406787654543423,Intraday protective stop,130.40278253289028,gap_open
MELI,2019-04-26,2019-08-05,491.435595,595.6536513481523,18.0,0.0,0.20964687989815123,Intraday protective stop,595.9516271617331,intraday
QCOM,2019-09-06,2019-10-02,78.99947999999999,73.74093244836683,157.0,97.34,-0.06058902492293483,Intraday protective stop,73.77782135904636,intraday
ASML,2019-10-16,2019-12-03,260.39013,261.52877904244,39.0,45.629999999999995,0.006854888041299301,Intraday protective stop,261.6596088468634,intraday
AMD,2019-12-04,2019-12-17,39.39969,42.488745,259.0,0.0,0.07624837663944573,Leader rotation,,
TSLA,2019-12-17,2020-02-05,379.179495,741.2233964663894,37.0,0.0,0.9509030430015313,Intraday protective stop,741.594193563171,intraday
LRCX,2020-02-06,2020-02-24,326.16299999999995,299.0504,84.0,0.0,-0.08495783794208167,Intraday protective stop,312.92855744871827,gap_open
REGN,2020-04-15,2020-04-20,525.56265,566.4266450000001,36.0,0.0,0.07559949975815194,Leader rotation,,
TSLA,2020-04-20,2020-09-01,146.61337005000001,501.88893,180.0,0.0,2.4163743371035418,Leader rotation,,
ZM,2020-09-01,2020-09-03,439.72975499999995,373.583406604125,69.0,0.0,-0.15212245254745238,Intraday protective stop,373.77029174999996,intraday
ZM,2020-09-04,2020-09-04,375.68775,359.25072159331285,168.0,0.0,-0.045662420630468326,Intraday protective stop,359.43043681171866,intraday
ZM,2020-10-13,2020-10-26,494.24699999999996,520.2297550000001,126.0,0.0,0.050467347116097905,Leader rotation,,
ALGN,2020-10-26,2020-11-09,462.961365,500.7495,135.0,0.0,0.07946156910631519,Leader rotation,,
PDD,2020-11-09,2020-11-10,112.63628999999999,96.50952211628963,575.0,0.0,-0.14488753226624318,Intraday protective stop,96.55780101679802,intraday
PDD,2020-11-11,2020-11-19,102.51122999999998,134.37577850000002,593.0,0.0,0.3082205278980068,Leader rotation,,
TSLA,2020-11-19,2021-02-17,492.246,778.4511508602927,204.0,0.0,0.5782673783139467,Intraday protective stop,778.8405711458656,intraday
TSLA,2021-02-18,2021-02-18,781.29045,778.4511508602928,202.0,0.0,-0.005624855768393111,Intraday protective stop,778.8405711458657,intraday
TSLA,2021-02-19,2021-02-19,795.3974999999999,778.4511508602926,198.0,0.0,-0.0232609432321238,Intraday protective stop,778.8405711458655,intraday
BIDU,2021-02-22,2021-02-26,322.611225,274.6282951336195,339.0,0.0,-0.15043381627147445,Intraday protective stop,274.7656779726058,intraday
AMAT,2021-04-06,2021-05-10,143.95193999999998,124.77617096552397,752.0,0.0,-0.13494137052524713,Intraday protective stop,124.8385902606543,intraday
MRNA,2021-06-11,2021-07-08,212.00594999999998,215.55217000000002,424.0,0.0,0.014695560825846554,Leader rotation,,
AMAT,2021-07-08,2021-07-08,131.70582,130.553034948302,735.0,0.0,-0.010733240766200636,Intraday protective stop,130.6183441203622,intraday
MRNA,2021-07-09,2021-07-13,232.07598,239.02043,396.0,0.0,0.027865385738311765,Leader rotation,,
AMAT,2021-07-13,2021-07-16,136.06799999999998,130.553034948302,719.0,0.0,-0.0424479692239903,Intraday protective stop,130.6183441203622,intraday
MRNA,2021-07-19,2021-08-11,284.68227,371.94898293859444,318.0,0.0,0.3039302662843326,Intraday protective stop,372.13505046382636,intraday
MRNA,2021-08-12,2021-08-16,400.2,371.9489829385944,290.0,0.0,-0.07244920507863994,Intraday protective stop,372.1350504638263,intraday
MRNA,2021-08-18,2021-08-20,406.70324999999997,371.94898293859444,262.0,0.0,-0.08728089060628752,Intraday protective stop,372.13505046382636,intraday
MRNA,2021-08-23,2021-08-30,390.53516999999994,368.81550000000004,257.0,0.0,-0.05750202755335443,Intraday protective stop,372.13505046382636,gap_open
NVDA,2021-08-31,2021-09-20,227.06347499999998,208.7429994864834,553.0,0.0,-0.08252117362142675,Intraday protective stop,208.84742319808242,intraday
TEAM,2021-10-19,2021-11-05,415.2075,447.15631,208.0,0.0,0.07479486955125059,Leader rotation,,
NVDA,2021-11-05,2021-12-06,302.020935,282.98540452912357,402.0,16.080000000000002,-0.06476695343841288,Intraday protective stop,283.1269680131301,intraday
PANW,2022-03-23,2022-04-22,588.9837447,571.0503889193878,193.0,0.0,-0.03238513077869121,Intraday protective stop,571.3360569478617,intraday
VRTX,2022-07-21,2022-08-23,285.93289500000003,292.043905,289.0,0.0,0.01933147878737662,Leader rotation,,
TMUS,2022-08-23,2022-09-13,144.65229,138.38860464847406,608.0,0.0,-0.045213152588972405,Intraday protective stop,138.4578335652567,intraday
PDD,2022-11-14,2023-01-17,67.623795,94.4577475,1239.0,0.0,0.3940214495765617,Leader rotation,,
NFLX,2023-01-17,2023-02-22,331.24553999999995,333.126458963171,425.0,0.0,0.0036689750828806655,Intraday protective stop,333.2931055159289,intraday
MELI,2023-02-24,2023-03-13,1163.831625,1127.6058065479929,93.0,0.0,-0.03306215115648581,Intraday protective stop,1128.1698914937397,intraday
NVDA,2023-03-22,2023-08-09,264.382125,426.7199172764623,520.0,20.8,0.6109534261029059,Intraday protective stop,426.9333839684465,intraday
