trade_no,symbol,entry_time,exit_time,entry_price,exit_price,quantity,entry_value,exit_value,pnl_value,pnl_pct,exit_reason,entry_delay_bars,exit_delay_bars,entry_price_penalty,exit_price_penalty,pnl_pct_display
18,EXPE,2012-09-21,2012-10-18,59.304389539718635,54.17290076255799,173,10269.919049761695,9362.539920090609,-907.379129671086,-0.08835309463243934,Supertrend down,0,0,0.005,0.0,-8.84%
19,BBBY,2012-11-26,2013-02-05,14.72052034521103,13.373310114383699,636,9371.613190493768,8496.919807515284,-874.6933829784848,-0.09333434545353869,Supertrend down,0,0,0.005,0.0,-9.33%
20,SIRI,2013-02-05,2013-02-14,31.472149232864382,31.784099237442017,266,8379.963287637867,8446.115826762416,66.15253912454864,0.007894132331359716,Leader rotation,0,0,0.005,0.0,+0.79%
21,GILD,2013-02-14,2013-05-01,41.40649030685425,50.424775762557985,206,8538.266740215187,10377.116303279858,1838.8495630646703,0.21536567303568765,Leader rotation,0,0,0.005,0.0,+21.54%
22,BBBY,2013-05-01,2013-07-10,20.91439923286438,27.466259542465213,496,10383.91556152023,13609.641468329683,3225.7259068094518,0.3106463922687366,Leader rotation,0,0,0.005,0.0,+31.06%
23,NFLX,2013-07-10,2013-09-04,3.527150298237801,4.124222886800767,3830,13522.494627893027,15779.977882790488,2257.483254897461,0.16694281025935265,Leader rotation,0,0,0.005,0.0,+16.69%
24,MU,2013-09-04,2013-10-02,15.052335268497467,17.64117461872101,1054,15881.026534369325,18575.20425008381,2694.177715714486,0.16964757976342493,Leader rotation,0,0,0.005,0.0,+16.96%
25,TSLA,2013-10-02,2013-10-16,12.641816791057588,12.320503498554231,1438,18197.11147808635,17699.167146890064,-497.94433119628593,-0.02736392156502032,Supertrend down,0,0,0.005,0.0,-2.74%
26,META,2013-10-16,2013-11-11,50.315220920562744,47.016480915069586,359,18081.227474792504,16862.03773186147,-1219.1897429310338,-0.06742848319511141,Supertrend down,0,0,0.005,0.0,-6.74%
27,NFLX,2013-11-11,2013-11-15,4.779715674161912,4.920395379304886,3524,16860.56175378232,17322.13384335375,461.5720895714294,0.02737584288779016,Leader rotation,0,0,0.005,0.0,+2.74%
28,MU,2013-11-15,2013-12-19,19.48658915615082,21.719134542465213,888,17321.39526183259,19267.3048822354,1945.90962040281,0.11234138999706267,Leader rotation,0,0,0.005,0.0,+11.23%
29,META,2013-12-19,2014-03-03,54.62881684112549,66.92651908493042,347,18975.155643314414,23200.278620348385,4225.1229770339705,0.22266605114897287,Leader rotation,0,0,0.005,0.0,+22.27%
30,ILMN,2014-03-03,2014-03-20,167.73656611633302,156.09895920562744,139,23338.698072860458,21676.05757425263,-1662.6404986078269,-0.07123964213501854,Supertrend down,0,0,0.005,0.0,-7.12%
31,META,2014-03-20,2014-03-31,68.38405714797975,60.74960877990723,318,21767.876303230612,19299.05721641849,-2468.8190868121237,-0.11341570727529915,Supertrend down,0,0,0.005,0.0,-11.34%
32,ILMN,2014-05-27,2014-06-26,157.33922417449952,166.6481558456421,122,19214.580734638228,20310.743938155167,1096.1632035169387,0.057048510121320506,Leader rotation,0,0,0.005,0.0,+5.70%
33,TSLA,2014-06-26,2014-07-15,15.898295032501222,15.107774937152863,1285,20449.73842588083,19394.077303447186,-1055.6611224336448,-0.05162223107448738,Supertrend down,0,0,0.005,0.0,-5.16%
34,ILMN,2014-07-15,2014-07-24,173.33137825012207,178.30574576568605,111,19259.022768749313,19772.14584221116,513.1230734618475,0.026643255975296265,Supertrend down,0,0,0.005,0.0,+2.66%
35,VRTX,2014-07-24,2014-08-07,98.40828776168824,86.89653244018555,199,19602.832513840534,17275.11754564133,-2327.714968199205,-0.11874380738374046,Supertrend down,0,0,0.005,0.0,-11.87%
36,TSLA,2014-08-19,2014-09-08,17.35291841697693,18.498745420455933,1012,17578.714591418633,18702.009635135902,1123.2950437172694,0.06390086361977954,Leader rotation,0,0,0.005,0.0,+6.39%
37,AVGO,2014-09-08,2014-10-09,8.85543866109848,8.287853816986084,2111,18712.52484459247,17478.163748249965,-1234.3610963425053,-0.06596443326562695,Supertrend down,0,0,0.005,0.0,-6.60%
38,MNST,2014-10-22,2014-11-03,16.535447193145753,16.799928277015688,1055,17462.341685557534,17706.2004079193,243.8587223617651,0.01396483511506652,Leader rotation,0,0,0.005,0.0,+1.40%
