trade_no,symbol,entry_time,exit_time,entry_price,exit_price,quantity,entry_value,exit_value,pnl_value,pnl_pct,exit_reason,pnl_pct_display
23,NFLX,2013-07-10,2013-09-04,3.5166267269849776,4.115970314741135,3266,11542.729404784599,13375.545252704826,1832.8158479202266,0.15878530836567162,Leader rotation,+15.88%
24,MU,2013-09-04,2013-10-02,15.00742526769638,17.60587461948395,896,13513.886305055235,15695.98934076233,2182.103035707094,0.16147117020592505,Leader rotation,+16.15%
25,TSLA,2013-10-02,2013-10-16,12.604098789691925,12.29585016489029,1208,15301.880094637583,14779.120064191531,-522.760030446052,-0.03416312421826184,Supertrend down,-3.42%
26,META,2013-10-16,2013-11-11,50.16510091781616,46.922400913238526,301,15175.193853143977,14053.024461510373,-1122.1693916336044,-0.07394761493614233,Supertrend down,-7.39%
27,NFLX,2013-11-11,2013-11-15,4.765454961061478,4.9105496656894685,2935,14056.54336226901,14340.400952454598,283.85759018558747,0.020193982465669835,Leader rotation,+2.02%
28,MU,2013-11-15,2013-12-19,19.428449158668517,21.675674543380737,734,14331.784090875004,15830.395389267254,1498.6112983922503,0.10456557877859818,Leader rotation,+10.46%
29,META,2013-12-19,2014-03-03,54.46582683563232,66.79259908676148,283,15490.898139456365,18807.794013845734,3316.895874389369,0.21411901650434406,Leader rotation,+21.41%
30,ILMN,2014-03-03,2014-03-20,167.2361089324951,155.78660511016847,113,18992.168710918802,17515.866945561793,-1476.3017653570096,-0.07773213200808748,Supertrend down,-7.77%
31,META,2014-03-20,2014-03-31,68.18002714157105,60.628048782348635,258,17678.399237537953,15563.826402916719,-2114.5728346212345,-0.11961336579225978,Supertrend down,-11.96%
32,ILMN,2014-05-27,2014-06-26,156.86978839874266,166.31469280242922,98,15450.105459392164,16217.345695164873,767.2402357727096,0.04965922321949612,Leader rotation,+4.97%
33,TSLA,2014-06-26,2014-07-15,15.85086103439331,15.077544271945953,1023,16296.507992375276,15347.206151249708,-949.3018411255689,-0.058251856260845725,Supertrend down,-5.83%
34,ILMN,2014-07-15,2014-07-24,172.81422843933103,177.94895587921144,88,15283.690363174434,15581.210576783753,297.5202136093194,0.01946651669456645,Supertrend down,+1.95%
35,VRTX,2014-07-24,2014-08-07,98.11467775344848,86.72265243530273,156,15382.419178185652,13461.09011100769,-1921.3290671779614,-0.1249042198708683,Supertrend down,-12.49%
36,TSLA,2014-08-19,2014-09-08,17.30114441871643,18.4617294216156,788,13701.468310958287,14475.103570311927,773.6352593536394,0.05646367541024011,Leader rotation,+5.65%
37,AVGO,2014-09-08,2014-10-09,8.829017660617827,8.271269817352294,1638,14534.240582732458,13480.598261018942,-1053.6423217135161,-0.07249379943285827,Supertrend down,-7.25%
38,MNST,2014-10-22,2014-11-03,16.486112194061278,16.76631161212921,813,13470.225259840678,13562.856283957744,92.63102411706677,0.00687672420692409,Leader rotation,+0.69%
