trade_no,symbol,entry_time,exit_time,entry_price,exit_price,quantity,entry_value,exit_value,pnl_value,pnl_pct,exit_reason,entry_delay_bars,exit_delay_bars,entry_price_penalty,exit_price_penalty,pnl_pct_display
24,MU,2013-09-05,2013-10-02,14.957474809169769,17.64117461872101,943,14119.003643792137,16618.992037788455,2499.9883939963183,0.177065496763684,Leader rotation,1,0,0.0,0.0,+17.71%
25,TSLA,2013-10-03,2013-10-16,11.675835076332092,12.320503498554231,1287,15041.82654298264,15840.631514636656,798.8049716540154,0.05310558324624992,Supertrend down,1,0,0.0,0.0,+5.31%
26,META,2013-10-17,2013-11-11,51.145558931350706,47.016480915069586,340,17406.8795266959,15969.617907612535,-1437.2616190833633,-0.08256859690900487,Supertrend down,1,0,0.0,0.0,-8.26%
27,NFLX,2013-11-12,2013-11-15,4.804972105264663,4.920395379304886,3323,15982.889228100268,16334.123371584707,351.2341434844384,0.021975635222880596,Leader rotation,1,0,0.0,0.0,+2.20%
28,MU,2013-11-18,2013-12-19,19.589789923667908,21.719134542465213,833,16334.61330142178,18073.94703479965,1739.3337333778709,0.10648147594816204,Leader rotation,1,0,0.0,0.0,+10.65%
29,META,2013-12-20,2014-03-03,54.95746530532836,66.92651908493042,325,17879.037400455945,21729.367583899784,3850.330183443839,0.2153544453878511,Leader rotation,1,0,0.0,0.0,+21.54%
30,ILMN,2014-03-04,2014-03-20,170.73707453155518,156.09895920562744,128,21876.1998855791,19960.686111541992,-1915.5137740371065,-0.08756154103802205,Supertrend down,1,0,0.0,0.0,-8.76%
31,META,2014-03-21,2014-03-31,67.56376377868652,60.74960877990723,294,19883.610297484767,17842.524596311432,-2041.085701173335,-0.10265166489566169,Supertrend down,1,0,0.0,0.0,-10.27%
32,ILMN,2014-05-28,2014-06-26,154.94124721527098,166.6481558456421,115,17836.06167318592,19145.37338432659,1309.3117111406718,0.07340811750550524,Leader rotation,1,0,0.0,0.0,+7.34%
33,TSLA,2014-06-27,2014-07-15,15.653822908401489,15.107774937152863,1215,19038.41422854152,18337.59060209209,-700.8236264494299,-0.03681102942905756,Supertrend down,1,0,0.0,0.0,-3.68%
34,ILMN,2014-07-16,2014-07-24,168.2747538986206,178.30574576568605,107,18023.404065819555,19059.63608213148,1036.2320163119257,0.05749369056631681,Supertrend down,1,0,0.0,0.0,+5.75%
35,VRTX,2014-07-25,2014-08-07,96.05800713729857,86.89653244018555,196,18846.196768309426,17014.68863791809,-1831.5081303913357,-0.09718184272972696,Supertrend down,1,0,0.0,0.0,-9.72%
36,TSLA,2014-08-20,2014-09-08,16.986489641189575,18.498745420455933,1024,17411.5595579707,18923.77259523633,1512.2130372656284,0.0868510963782887,Leader rotation,1,0,0.0,0.0,+8.69%
37,AVGO,2014-09-09,2014-10-09,8.842419297695159,8.287853816986084,2179,19286.899281327427,18041.174233745467,-1245.72504758196,-0.06458918198364871,Supertrend down,1,0,0.0,0.0,-6.46%
38,MNST,2014-10-23,2014-11-03,16.503248339653013,16.799928277015688,1092,18039.56873408799,18327.176156822632,287.6074227346435,0.015943142930638476,Leader rotation,1,0,0.0,0.0,+1.59%
39,GILD,2014-11-04,2014-11-24,109.67481274795531,101.0594456100464,163,17894.871472394632,16456.216944803127,-1438.654527591505,-0.08039479522447723,Supertrend down,1,0,0.0,0.0,-8.04%
40,VRTX,2014-11-25,2015-02-06,114.22708316802978,107.06644274520875,147,16808.172606926077,15723.028316462141,-1085.1442904639352,-0.06456051563968257,Supertrend down,1,0,0.0,0.0,-6.46%
41,MNST,2015-02-17,2015-04-23,19.516419516563413,23.321665395736694,792,15472.46126137534,18452.288234430038,2979.826973054698,0.19258907310974416,Leader rotation,1,0,0.0,0.0,+19.26%
42,EA,2015-04-24,2015-07-17,59.929951526641844,72.91352194976807,313,18776.832902666734,22799.11043790713,4022.277535240395,0.2142149081312399,Leader rotation,1,0,0.0,0.0,+21.42%
43,NFLX,2015-07-20,2015-08-28,11.475735267162323,11.629182728767395,1967,22595.344041778793,22851.72782505798,256.3837832791869,0.011346752800273086,Supertrend down,1,0,0.0,0.0,+1.13%
44,AMZN,2015-08-31,2015-10-06,25.83491150379181,27.26136211872101,892,23067.785802443675,24292.817874889242,1225.0320724455669,0.05310575028470188,Supertrend down,1,0,0.0,0.0,+5.31%
45,AMZN,2015-10-19,2015-11-05,28.552269106864927,32.33882204246521,850,24293.698169576022,27460.510737359335,3166.8125677833123,0.1303553104874431,Leader rotation,1,0,0.0,0.0,+13.04%
46,NFLX,2015-11-06,2015-12-11,11.344669248104095,12.13892795753479,2381,27038.669137215584,28873.884679423445,1835.2155422078613,0.06787373790087536,Leader rotation,1,0,0.0,0.0,+6.79%
47,NVDA,2015-12-14,2016-01-13,0.8134065233767033,0.7598698473572731,35900,29230.49548341287,27252.04819260598,-1978.4472908068892,-0.06768435697333897,Supertrend down,1,0,0.0,0.0,-6.77%
48,NVDA,2016-03-03,2017-01-10,0.8229112404584884,2.6939024093151094,33164,27318.319406943872,89251.23892302376,61932.919516079884,2.2670838053214046,Supertrend down,1,0,0.0,0.0,+226.71%
49,MU,2017-01-11,2017-01-30,22.621305610656737,23.808089694976807,3941,89239.7159770098,93733.85380641569,4494.137829405896,0.05036028835595685,Leader rotation,1,0,0.0,0.0,+5.04%
50,STX,2017-01-31,2017-02-06,44.872423473358154,46.01698091506958,2087,93742.39653668736,95941.40173058046,2199.005193893099,0.02345795792656613,Leader rotation,1,0,0.0,0.0,+2.35%
51,NVDA,2017-02-07,2017-02-21,2.9689837213754653,2.7043971135616305,32283,95943.54917864129,87218.74596509301,-8724.803213548279,-0.09093684034247274,Supertrend down,1,0,0.0,0.0,-9.09%
52,MU,2017-02-22,2017-03-21,23.871930610656737,26.286849237442016,3650,87219.67927562597,95851.0527169467,8631.373441320728,0.09896130681751791,Leader rotation,1,0,0.0,0.0,+9.90%
53,INCY,2017-03-22,2017-04-07,141.820875,139.4102557296753,642,91140.05075174998,89411.88279427309,-1728.1679574768932,-0.018961674293819786,Supertrend down,1,0,0.0,0.0,-1.90%
