trade_no,symbol,entry_time,exit_time,entry_price,exit_price,quantity,entry_value,exit_value,pnl_value,pnl_pct,exit_reason,entry_delay_bars,exit_delay_bars,entry_price_penalty,exit_price_penalty,pnl_pct_display
19,BBBY,2012-11-26,2013-02-05,14.647320343494414,13.306410113811493,638,9354.335369528584,8481.00016295912,-873.3352065694635,-0.09336154542997488,Supertrend down,0,0,0.0,0.005,-9.34%
20,SIRI,2013-02-05,2013-02-14,31.315649236679075,31.625099241256716,267,8369.639624539504,8435.457595918127,65.81797137862304,0.007863895499830909,Leader rotation,0,0,0.0,0.005,+0.79%
21,GILD,2013-02-14,2013-05-01,41.20059030532837,50.17252575874329,207,8537.050715396175,10375.3271192278,1838.2764038316254,0.21532921205638145,Leader rotation,0,0,0.0,0.005,+21.53%
22,BBBY,2013-05-01,2013-07-10,20.810399236679075,27.328859544754028,499,10394.77360832196,13623.463811919428,3228.690203597467,0.3106070728671384,Leader rotation,0,0,0.0,0.005,+31.06%
23,NFLX,2013-07-10,2013-09-04,3.509611012816429,4.103591456651688,3849,13522.001281118764,15778.928793135694,2256.9275120169295,0.16690780196629285,Leader rotation,0,0,0.0,0.005,+16.69%
24,MU,2013-09-04,2013-10-02,14.977485267162322,17.552924620628357,1059,15877.018054822822,18569.95862607218,2692.940571249359,0.16961249032725934,Leader rotation,0,0,0.0,0.005,+16.96%
25,TSLA,2013-10-02,2013-10-16,12.57895345544815,12.258870164394379,1445,18194.7643308657,17696.353320162325,-498.4110107033739,-0.02739310065466838,Supertrend down,0,0,0.0,0.005,-2.74%
26,META,2013-10-16,2013-11-11,50.0650209159851,46.781280910491944,360,18041.43093728439,16824.41986664932,-1217.0110706350679,-0.06745646034760999,Supertrend down,0,0,0.0,0.005,-6.75%
27,NFLX,2013-11-11,2013-11-15,4.755947818994522,4.895781095266343,3541,16857.652038286662,17318.62489747978,460.9728591931198,0.027345021604798347,Leader rotation,0,0,0.0,0.005,+2.73%
28,MU,2013-11-15,2013-12-19,19.389689160346983,21.61048454475403,892,17312.898333760535,19257.275661706673,1944.3773279461384,0.11230801974702054,Leader rotation,0,0,0.0,0.005,+11.23%
29,META,2013-12-19,2014-03-03,54.35716683197021,66.59171908950806,349,18989.621875581957,23217.269452276076,4227.6475766941185,0.22262937115826897,Leader rotation,0,0,0.0,0.005,+22.26%
30,ILMN,2014-03-03,2014-03-20,166.90247080993652,155.31807396698,140,23389.712259304502,21722.785825021823,-1666.926434282679,-0.07126750495271994,Supertrend down,0,0,0.0,0.005,-7.13%
31,META,2014-03-20,2014-03-31,68.04400713729858,60.44570878601075,320,21795.85636621948,19323.284184711916,-2472.572181507563,-0.11344230481073014,Supertrend down,0,0,0.0,0.005,-11.34%
32,ILMN,2014-05-27,2014-06-26,156.55683121490478,165.81449823760988,123,19275.746729672715,20374.78809994279,1099.0413702700753,0.057016798658089396,Leader rotation,0,0,0.0,0.005,+5.70%
33,TSLA,2014-06-26,2014-07-15,15.819238368988037,15.03219827413559,1291,20443.05937109792,19387.161403937138,-1055.8979671607813,-0.05165068241466797,Supertrend down,0,0,0.0,0.005,-5.17%
34,ILMN,2014-07-15,2014-07-24,172.4694618988037,177.41377104949953,112,19335.89631239868,19850.472015186406,514.5757027877262,0.026612456669917517,Supertrend down,0,0,0.0,0.005,+2.66%
35,VRTX,2014-07-24,2014-08-07,97.91893774795531,86.46183242797852,200,19603.371337140652,17275.074119110108,-2328.297218030544,-0.11877024507612832,Supertrend down,0,0,0.0,0.005,-11.88%
36,TSLA,2014-08-19,2014-09-08,17.2666284198761,18.406205423355104,1013,17508.58568392382,18626.84060776486,1118.254923841043,0.06386894658589193,Leader rotation,0,0,0.0,0.005,+6.39%
37,AVGO,2014-09-08,2014-10-09,8.811403660297394,8.246393817901613,2120,18698.855935590305,17464.872539057465,-1233.9833965328398,-0.06599245433963408,Supertrend down,0,0,0.0,0.005,-6.60%
38,MNST,2014-10-22,2014-11-03,16.45322219467163,16.7158866147995,1060,17457.85594187828,17701.120971875782,243.265029997503,0.013934416162408203,Leader rotation,0,0,0.0,0.005,+1.39%
39,GILD,2014-11-03,2014-11-24,112.36615255737304,100.55389560699463,157,17659.127437459072,15771.174648687858,-1887.9527887712138,-0.10691087628522522,Supertrend down,0,0,0.0,0.005,-10.69%
40,VRTX,2014-11-24,2015-02-06,111.60577805328369,106.53084273147583,141,15752.15112021851,15005.827976312954,-746.3231439055562,-0.04737912544196077,Supertrend down,0,0,0.0,0.005,-4.74%
41,MNST,2015-02-13,2015-04-23,19.944966965675352,23.204998735427857,755,15073.508509143974,17502.254271202783,2428.7457620588084,0.16112677155324984,Leader rotation,0,0,0.0,0.005,+16.11%
42,EA,2015-04-23,2015-07-17,59.789878320693965,72.54877196502686,292,17476.103114112277,21163.057172374058,3686.954058261781,0.21097117785283026,Leader rotation,0,0,0.0,0.005,+21.10%
43,NFLX,2015-07-17,2015-08-28,11.73986720609665,11.571007727622986,1803,21188.14755316485,20841.664405971336,-346.483147193514,-0.01635268710132043,Supertrend down,0,0,0.0,0.005,-1.64%
44,AMZN,2015-08-28,2015-10-06,25.8879375,27.124987120628358,804,20834.715651749997,21786.681155340215,951.9655035902178,0.04569131249507885,Supertrend down,0,0,0.0,0.005,+4.57%
45,AMZN,2015-10-16,2015-11-05,28.277631963729856,32.17704704475403,770,21795.55038868406,24751.549898236146,2955.9995095520862,0.13562399007307469,Leader rotation,0,0,0.0,0.005,+13.56%
46,NFLX,2015-11-05,2015-12-11,11.380687499999999,12.078202955245972,2157,24572.691080437493,26026.631090691095,1453.940010253602,0.059168936991646603,Leader rotation,0,0,0.0,0.005,+5.92%
47,NVDA,2015-12-11,2016-01-13,0.8166581512391566,0.7560685974955559,32057,26205.789964627915,24213.05373888512,-1992.7362257427958,-0.07604183000903819,Supertrend down,0,0,0.0,0.005,-7.60%
48,NVDA,2016-03-02,2017-01-10,0.8146571173667907,2.680426159143448,29529,24080.066028742684,79071.15374929353,54991.087720550844,2.2836767829005056,Supertrend down,0,0,0.0,0.005,+228.37%
49,MU,2017-01-10,2017-01-30,22.371180610656737,23.688989696502688,3536,79183.5991339215,83680.50329926667,4496.904165345171,0.0567908533399657,Leader rotation,0,0,0.0,0.005,+5.68%
50,STX,2017-01-30,2017-02-03,44.42220152664184,45.060796365737914,1882,83686.18585641307,84719.61434155844,1033.4284851453704,0.012348853930546078,Leader rotation,0,0,0.0,0.005,+1.23%
51,NVDA,2017-02-03,2017-02-21,2.887693144083023,2.690868363618851,29314,84734.48666247538,78801.23509591188,-5933.2515665635,-0.07002168538764553,Supertrend down,0,0,0.0,0.005,-7.00%
52,MU,2017-02-21,2017-03-21,23.631810839653014,26.155349241256715,3331,78796.27946879106,87036.34485430349,8240.065385512426,0.10457429514519245,Leader rotation,0,0,0.0,0.005,+10.46%
53,INCY,2017-03-21,2017-04-07,148.43418061065674,138.7128557510376,585,86920.82965289142,81065.87359374264,-5854.9560591487825,-0.06735964305138242,Supertrend down,0,0,0.0,0.005,-6.74%
54,WDC,2017-04-07,2017-04-25,63.56918325805664,65.39795792770386,1245,79222.77678943679,81339.03716237131,2116.2603729345283,0.026712777040866165,Leader rotation,0,0,0.0,0.005,+2.67%
55,CSX,2017-04-25,2017-05-12,16.738364542007446,17.26120489883423,4933,82652.92263800844,85064.3742421833,2411.4516041748575,0.029175636229298085,Leader rotation,0,0,0.0,0.005,+2.92%
56,NVDA,2017-05-12,2017-07-11,3.167332901716232,3.8250956819057467,27034,85711.3033426616,103304.22902797532,17592.92568531372,0.20525794147569676,Supertrend down,0,0,0.0,0.005,+20.53%
57,NVDA,2017-07-18,2017-07-20,4.046522124052047,4.125434727430344,25120,101750.28439194361,103527.28943269719,1777.0050407535746,0.017464374191904275,Leader rotation,0,0,0.0,0.005,+1.75%
58,VRTX,2017-07-20,2017-11-01,160.01997244262694,146.5395810699463,656,105078.07502428563,96033.8352167029,-9044.239807582737,-0.08607161680010256,Supertrend down,0,0,0.0,0.005,-8.61%
59,NVDA,2017-11-01,2017-12-06,5.236366741418839,4.616966174125672,18322,96036.65214771223,84507.46218808823,-11529.189959623996,-0.12004989451205728,Supertrend down,0,0,0.0,0.005,-12.00%
60,DLTR,2017-12-19,2018-01-08,109.57475664138794,110.15082212448121,770,84456.93517648257,84731.31690281468,274.3817263321107,0.0032487767376208065,Leader rotation,0,0,0.0,0.005,+0.32%
61,TTWO,2018-01-08,2018-01-22,116.55824999999999,117.12226166152955,726,84705.91078949998,84945.73120430419,239.82041480421321,0.002831212279863049,Leader rotation,0,0,0.0,0.005,+0.28%
62,ALGN,2018-01-22,2018-02-12,269.7748346557617,231.967125,314,84794.00737999108,72764.83957275,-12029.167807241072,-0.1418634191132664,Supertrend down,0,0,0.0,0.005,-14.19%
63,NVDA,2018-02-16,2018-03-13,6.138067728996276,6.252670166730881,11827,72667.52195786979,73876.3797318642,1208.8577739944158,0.016635461639868065,Leader rotation,0,0,0.0,0.005,+1.66%
64,MU,2018-03-13,2018-04-02,62.20108316802978,51.256530910491946,1191,74155.57154317659,60985.48178608152,-13170.08975709507,-0.17760081249494342,Supertrend down,0,0,0.0,0.005,-17.76%
65,NFLX,2018-05-11,2018-07-24,32.981482652664184,36.49218324279785,1848,61010.729722065524,67370.11707805774,6359.387355992214,0.10423391729557108,Supertrend down,0,0,0.0,0.005,+10.42%
66,ALGN,2018-07-24,2018-08-30,379.14947145080566,380.9730466461182,177,67176.56590323937,67364.79702710656,188.23112386718276,0.0028020355214095627,Leader rotation,0,0,0.0,0.005,+0.28%
67,AMZN,2018-08-30,2018-09-05,99.92093769836426,101.3450220565796,675,67514.07957934226,68339.48199830305,825.402418960788,0.012225633884126008,Leader rotation,0,0,0.0,0.005,+1.22%
68,ILMN,2018-09-05,2018-10-11,343.45957731628414,294.8286117095947,198,68073.00130493288,58317.689053381255,-9755.31225155163,-0.14330662765775126,Supertrend down,0,0,0.0,0.005,-14.33%
69,ILMN,2018-12-04,2018-12-24,340.57877362060543,267.0735698547363,171,58297.209259412644,45623.91086471475,-12673.298394697893,-0.2173911677024517,Supertrend down,0,0,0.0,0.005,-21.74%
70,REGN,2019-01-10,2019-01-25,399.5996938934326,408.59033106994633,114,45599.91946895516,46532.718444231905,932.7989752767462,0.020456154005092042,Leader rotation,0,0,0.0,0.005,+2.05%
71,WDAY,2019-01-25,2019-03-05,173.19655561065673,179.3381868209839,270,46809.83308489219,48372.889131223994,1563.0560463318034,0.033391617600881274,Leader rotation,0,0,0.0,0.005,+3.34%
72,SBUX,2019-03-05,2019-03-22,71.22559744262695,71.65372803497314,679,48410.54284420724,48604.22845441102,193.68561020378547,0.004000897300967976,Leader rotation,0,0,0.0,0.005,+0.40%
73,WDAY,2019-03-22,2019-04-26,196.34812499999998,198.85027196502688,247,48546.48486187499,49066.90115818628,520.4162963112904,0.010719958361392834,Leader rotation,0,0,0.0,0.005,+1.07%
74,MELI,2019-04-26,2019-09-04,491.43559744262694,582.777,99,48700.77627096688,57637.228077,8936.451806033117,0.18349711216740117,Supertrend down,0,0,0.0,0.005,+18.35%
75,QCOM,2019-09-06,2019-10-15,78.9994790840149,76.45715726852417,734,58043.603265314596,56063.433881661644,-1980.169383652952,-0.03411520429911441,Supertrend down,0,0,0.0,0.005,-3.41%
76,ASML,2019-10-16,2019-10-25,260.3901397705078,261.0065371398926,209,54475.96075124816,54495.81589597532,19.855144727160223,0.0003644753475358087,Leader rotation,0,0,0.0,0.005,+0.04%
77,LRCX,2019-10-25,2019-11-08,26.51325,26.980784165382385,2116,56158.13903699999,57034.24795465518,876.1089176551832,0.015600746974146595,Leader rotation,0,0,0.0,0.005,+1.56%
78,QCOM,2019-11-08,2019-12-04,90.02499335861205,80.47493817901612,632,56952.69159844545,50809.300768209054,-6143.3908302364,-0.10786831417119691,Supertrend down,0,0,0.0,0.005,-10.79%
79,AMD,2019-12-04,2019-12-17,39.39969106864929,42.27619333076477,1290,50876.427080036134,54481.753107289864,3605.32602725373,0.07086437146189573,Leader rotation,0,0,0.0,0.005,+7.09%
80,TSLA,2019-12-17,2020-02-12,25.278633748054503,51.57278269958496,2142,54200.98032182107,110358.43164196848,56157.451320147404,1.0360965980081853,Supertrend down,0,0,0.0,0.005,+103.61%
81,LRCX,2020-02-12,2020-02-20,32.816399236679075,33.012427196502685,3368,110636.15826176426,111074.66894302322,438.51068125896563,0.0039635385767955444,Leader rotation,0,0,0.0,0.005,+0.40%
82,NVDA,2020-02-20,2020-03-02,7.823159731864929,6.884426382780076,14187,111098.1542830837,97571.68773540843,-13526.46654767527,-0.12175239665286564,Supertrend down,0,0,0.0,0.005,-12.18%
83,REGN,2020-04-15,2020-04-20,525.5626377868653,563.5931168518067,185,97326.31707856063,104160.46189096666,6834.144812406026,0.07021887828026596,Leader rotation,0,0,0.0,0.005,+7.02%
84,TSLA,2020-04-20,2020-07-02,48.8710915775299,80.98412321090699,2092,102340.56190377274,169249.3669714602,66908.80506768746,0.6537857895542871,Leader rotation,0,0,0.0,0.005,+65.38%
85,ZM,2020-07-02,2020-07-09,261.1305,267.5304547119141,608,158926.11134399998,162495.85794837892,3569.7466043789464,0.022461674637291873,Leader rotation,0,0,0.0,0.005,+2.25%
86,TSLA,2020-07-09,2020-07-29,93.17923387527465,99.51629898834229,1874,174792.50216654694,186307.05075984928,11514.548593302345,0.0658755292737383,Leader rotation,0,0,0.0,0.005,+6.59%
87,ZM,2020-07-29,2020-08-18,255.67777805328367,270.2255412139893,728,186319.5558452133,196527.46980978042,10207.913964567124,0.05478713127164947,Supertrend down,0,0,0.0,0.005,+5.48%
