trade_no,symbol,entry_time,exit_time,entry_price,exit_price,quantity,entry_value,exit_value,pnl_value,pnl_pct,exit_reason,pnl_pct_display
60,DLTR,2017-12-19,2018-01-08,109.62951663970946,110.64924213409424,865,95019.19095713539,95520.17125709953,500.9802999641397,0.005272411761431783,Leader rotation,+0.53%
61,TTWO,2018-01-08,2018-01-22,116.61649999999999,117.65222664642334,817,95466.231861,95929.62543178762,463.3935707876226,0.004854005041932785,Leader rotation,+0.49%
62,ALGN,2018-01-22,2018-02-12,269.9096546630859,233.01675,354,95739.11378623388,82322.953641,-13416.16014523388,-0.14013248728403171,Supertrend down,-14.01%
63,NVDA,2018-02-16,2018-03-13,6.141135229110717,6.280962791919708,13361,82215.8112117406,83752.10397511354,1536.2927633729414,0.01868609870449789,Leader rotation,+1.87%
64,MU,2018-03-13,2018-04-02,62.23216816711425,51.488460914611814,1349,84119.09724715199,69319.01790626372,-14800.079340888275,-0.1759419659177257,Supertrend down,-17.59%
65,NFLX,2018-05-11,2018-07-24,32.99796515274048,36.657306243896485,2096,69302.06243006432,76680.04645943262,7377.984029368294,0.10646124762612552,Supertrend down,+10.65%
66,ALGN,2018-07-24,2018-08-30,379.33895144653314,382.69690658569334,200,76019.52586988524,76386.3025545044,366.77668461915164,0.004824769431565956,Leader rotation,+0.48%
67,AMZN,2018-08-30,2018-09-05,99.97087319946289,101.8035968170166,769,77031.35669336774,78130.3920203812,1099.0353270134656,0.014267375964677642,Leader rotation,+1.43%
68,ILMN,2018-09-05,2018-10-11,343.63122128295896,296.16267782592774,227,78160.29580569416,67094.47001075263,-11065.825794941527,-0.14157860689845747,Supertrend down,-14.16%
69,ILMN,2018-12-04,2018-12-24,340.7489779052734,268.2820475463867,196,66920.37326877246,52478.11475645361,-14442.258512318847,-0.21581258153349459,Supertrend down,-21.58%
70,REGN,2019-01-10,2019-01-25,399.7993938903808,410.4391560974121,131,52478.46804083917,53659.99438986346,1181.526349024287,0.022514497719422932,Leader rotation,+2.25%
71,WDAY,2019-01-25,2019-03-05,173.2831106109619,180.14967182922362,310,53825.19981797699,55734.70547052521,1909.5056525482214,0.03547605320566727,Leader rotation,+3.55%
72,SBUX,2019-03-05,2019-03-22,71.26119244384765,71.97795304870606,778,55552.090136756095,55886.84977694953,334.7596401934352,0.0060260494136104015,Leader rotation,+0.60%
73,WDAY,2019-03-22,2019-04-26,196.44625,199.75004695129394,283,55705.4773275,56416.204760641755,710.7274331417575,0.012758663370987744,Leader rotation,+1.28%
74,MELI,2019-04-26,2019-09-04,491.6811924438476,585.414,115,56656.423805304556,67187.96478,10531.54097469544,0.18588432285959788,Supertrend down,+18.59%
75,QCOM,2019-09-06,2019-10-15,79.03895908355712,76.80311725616455,849,67238.28441446387,65075.43485738274,-2162.8495570811283,-0.03216693548795946,Supertrend down,-3.22%
76,ASML,2019-10-16,2019-10-25,260.5202697753906,262.18756219482424,242,63171.99709621582,63322.49127104517,150.4941748293495,0.0023822924990029026,Leader rotation,+0.24%
77,LRCX,2019-10-25,2019-11-08,26.5265,27.102869161605835,2457,65305.96172099999,66458.56603100541,1152.6043100054158,0.017649296934475478,Leader rotation,+1.76%
78,QCOM,2019-11-08,2019-12-04,90.06998336029052,80.83907817077636,736,66424.09076868017,59378.56641062402,-7045.524358056144,-0.10606881142855173,Supertrend down,-10.61%
79,AMD,2019-12-04,2019-12-17,39.419381069183345,42.46748832321167,1504,59405.322626307854,63743.360233234125,4338.037606926271,0.0730243926830414,Leader rotation,+7.30%
80,TSLA,2019-12-17,2020-02-12,25.29126674842834,51.80614370727539,2490,63101.20471199374,128739.3032354535,65638.09852345975,1.0402035717550069,Supertrend down,+104.02%
81,LRCX,2020-02-12,2020-02-20,32.8327992362976,33.1618046951294,3933,129389.66219515119,130164.52711021203,774.8649150608398,0.005988615333829106,Leader rotation,+0.60%
82,NVDA,2020-02-20,2020-03-02,7.827069356918334,6.91557763338089,16590,130110.7827925377,114499.97407191338,-15610.808720624322,-0.11998089924273092,Supertrend down,-12.00%
83,REGN,2020-04-15,2020-04-20,525.8252877807616,566.1433119506836,217,114332.29562332212,122607.39249591174,8275.096872589624,0.07237759748875039,Leader rotation,+7.24%
84,TSLA,2020-04-20,2020-07-02,48.8955149116516,81.35056720733643,2445,119788.63302690614,198504.3325482937,78715.69952138755,0.6571216110606,Leader rotation,+65.71%
85,ZM,2020-07-02,2020-07-09,261.26099999999997,268.7409997558594,711,186128.08414199998,190692.70112476317,4564.616982763197,0.02452406365114035,Leader rotation,+2.45%
86,TSLA,2020-07-09,2020-07-29,93.2258002090454,99.96659898376465,2206,206067.42749167647,220085.26472346846,14017.837231791986,0.06802548759123117,Leader rotation,+6.80%
87,ZM,2020-07-29,2020-08-18,255.80555305480954,271.4482812194824,856,219407.4925217468,231895.00926642917,12487.516744682362,0.056914723381402466,Supertrend down,+5.69%
88,TSLA,2020-08-18,2020-08-26,126.72593405151366,137.19599491882323,1831,232499.25561881813,250703.45496297258,18204.199344154447,0.07829788226935297,Leader rotation,+7.83%
89,ZM,2020-08-26,2020-09-15,293.29299999999995,409.59,845,248328.25016999996,345411.3429,97083.09273000003,0.39094663077414316,Supertrend down,+39.09%
90,ZM,2020-10-13,2020-10-26,494.49399999999997,519.9685246582031,702,347829.057576,364287.8685014385,16458.810925438534,0.04731867728400552,Leader rotation,+4.73%
91,ALGN,2020-10-26,2020-11-09,463.1927409973144,500.499,760,352730.5361242749,379618.48152,26887.94539572508,0.07622800591965717,Leader rotation,+7.62%
92,PDD,2020-11-09,2020-11-19,112.69258183288574,134.30556243896484,3253,367322.14663978206,436022.2026247247,68700.05598494265,0.18702944163155522,Leader rotation,+18.70%
93,TSLA,2020-11-19,2021-02-16,164.164,272.3939898376465,2785,458111.13348,757100.0271744498,298988.89369444974,0.652655811752942,Leader rotation,+65.27%
94,MRNA,2021-02-16,2021-03-03,182.59241366577146,145.94390634155275,4108,751589.8146096672,598338.4921165965,-153251.32249307062,-0.20390287296889542,Supertrend down,-20.39%
95,AMAT,2021-04-06,2021-05-17,144.0238848876953,121.878,4197,605677.1813634045,510498.922068,-95178.25929540448,-0.15714354481896486,Supertrend down,-15.71%
96,MRNA,2021-06-11,2021-07-08,212.11189389038083,215.44434365844725,2345,498397.19595528895,504206.5519073007,5809.355952011771,0.01165607671784108,Leader rotation,+1.17%
97,AMAT,2021-07-08,2021-07-22,131.77163938903806,136.863,3910,516257.564231161,534064.06134,17806.497108838987,0.03449149870638202,Leader rotation,+3.45%
98,MRNA,2021-07-22,2021-09-07,319.31899999999996,409.0905,1669,534009.297822,681406.5004110001,147397.2025890001,0.27601991798676817,Supertrend down,+27.60%
99,NVDA,2021-09-07,2021-10-05,22.85583318328857,19.930050762176514,29759,681527.0731808875,591912.1838703477,-89614.88931053982,-0.13149131243206635,Supertrend down,-13.15%
100,TEAM,2021-10-19,2021-11-05,415.41499999999996,446.9326248779297,1422,591901.57026,634267.1161912632,42365.545931263245,0.07157532275620371,Leader rotation,+7.16%
101,NVDA,2021-11-05,2021-12-20,30.217187274932858,27.277695304870605,20948,634255.6183133641,570270.3349239365,-63985.28338942758,-0.10088248577061032,Supertrend down,-10.09%
102,PANW,2022-03-23,2022-03-30,98.21311286163329,102.17272652435302,5710,561918.468188806,582239.4559171477,20320.987728341715,0.036163587564297384,Leader rotation,+3.62%
103,TSLA,2022-03-30,2022-04-05,364.08705096435546,378.38789593505857,1613,588446.9580319164,609118.996790963,20672.038759046583,0.035129825172663054,Leader rotation,+3.51%
104,DLTR,2022-04-05,2022-05-06,156.32616816711425,160.81901573181153,3902,611204.677604456,626260.7677867574,15056.090182301472,0.024633466879396382,Supertrend down,+2.46%
105,VRTX,2022-07-21,2022-08-23,286.07579855346677,291.8978124389648,2185,626325.7710790035,636521.1267387798,10195.355659776367,0.016278039529193045,Leader rotation,+1.63%
106,TMUS,2022-08-23,2022-08-26,144.72458183288572,146.94290634155274,4389,636466.5820438645,643642.5511012089,7175.969057344366,0.011274698876255762,Leader rotation,+1.13%
107,CEG,2022-08-26,2022-10-21,82.82273786163329,84.61529695129394,7755,643574.9127812,654879.24460157,11304.331820369931,0.017564904404863135,Supertrend down,+1.76%
108,PDD,2022-11-14,2023-01-17,67.65758633422851,94.41549213409424,9662,655015.0143596384,910418.0000296192,255402.98566998076,0.3899192843994119,Leader rotation,+38.99%
109,NFLX,2023-01-17,2023-03-02,33.14110971069336,31.064904670715332,27416,910413.8571560258,849972.075599427,-60441.78155659884,-0.06638934708815658,Supertrend down,-6.64%
110,MELI,2023-03-02,2023-03-22,1196.195,1222.9757512207032,706,846202.69734,861694.0386010928,15491.341261092806,0.01830689184729506,Leader rotation,+1.83%
111,NVDA,2023-03-22,2023-06-13,26.451424236297605,40.14581482315064,32654,865472.2966260861,1308299.5943606906,442827.29773460445,0.5116597024086158,Leader rotation,+51.17%
112,META,2023-06-13,2023-06-20,275.1548848876953,278.4512809753418,4728,1303534.1603405215,1313884.621138513,10350.460797991604,0.007940306524293783,Leader rotation,+0.79%
113,NVDA,2023-06-20,2023-08-16,43.040999099731444,44.475480457305906,30575,1318610.5045692374,1357118.1393521638,38507.63478292641,0.029203191275581464,Supertrend down,+2.92%
114,NVDA,2023-08-30,2023-09-27,49.09304271697997,42.28767182922363,27589,1357136.811429798,1164341.2289402578,-192795.5824895401,-0.14206053572920352,Supertrend down,-14.21%
115,NVDA,2023-10-12,2023-10-25,46.823777427673335,43.35460081100464,24801,1163599.0569916938,1073086.9798042986,-90512.07718739519,-0.077786310192963,Supertrend down,-7.78%
116,META,2023-10-25,2023-11-01,310.30999999999995,301.5481560974121,3446,1071466.9165199997,1037056.6760198588,-34410.240500140935,-0.032115075108339664,Supertrend down,-3.21%
117,CEG,2023-11-06,2023-11-09,119.10898786163328,121.46840634155274,8709,1039394.8156375382,1055752.6141269258,16357.798489387613,0.015737810352030923,Leader rotation,+1.57%
118,NVDA,2023-11-09,2023-11-22,47.51446605300903,49.80214918899536,22176,1055788.1607899114,1102203.6354943307,46415.47470441926,0.04396286720026543,Leader rotation,+4.40%
119,ZS,2023-11-22,2023-12-01,193.22302877807616,197.6921093902588,5692,1102025.130764419,1123012.9596760543,20987.828911635326,0.01904478248792496,Leader rotation,+1.90%
120,PDD,2023-12-01,2024-02-05,143.46332733154296,121.67820304870605,7581,1089770.675469428,920597.5723976161,-169173.10307181196,-0.15523734202054873,Supertrend down,-15.52%
121,CRWD,2024-02-05,2024-02-28,76.32624999999999,79.63528134155274,12474,953997.8297849998,991383.7584556198,37385.928670619964,0.03918869362527322,Supertrend down,+3.92%
122,NVDA,2024-02-28,2024-03-14,77.6976227493286,89.4874264755249,12652,984996.3836705545,1129930.5299288044,144934.14625824988,0.14714180545329292,Leader rotation,+14.71%
123,CRWD,2024-03-14,2024-04-26,83.33324999999999,75.00991408538819,13608,1136266.8637319999,1018693.4410522145,-117573.4226797854,-0.10347342374626911,Supertrend down,-10.35%
124,NVDA,2024-05-07,2024-07-01,91.18909757232665,123.34653121948242,11023,1007187.7773848361,1356929.51600509,349741.73862025386,0.3472458130184608,Supertrend down,+34.72%
125,CRWD,2024-07-01,2024-07-02,96.41631969451903,95.47192975616456,14165,1368468.6428098078,1349655.1652260788,-18813.477583728964,-0.01374783242756672,Leader rotation,-1.37%
126,ARM,2024-07-02,2024-08-01,157.00685610961912,128.5812967071533,8579,1349655.7422015513,1100892.746561767,-248762.99563978426,-0.18431588727507908,Supertrend down,-18.43%
127,AVGO,2024-08-16,2024-08-20,164.6344712219238,166.88295304870604,6607,1089915.4312659772,1100390.4794512151,10475.048185237916,0.009610881619568135,Leader rotation,+0.96%
128,NVDA,2024-08-20,2024-09-10,128.52839389038084,107.70218756103516,8557,1102017.1014530289,919764.4037218583,-182252.69773117057,-0.16538100678371248,Supertrend down,-16.54%
129,CEG,2024-09-20,2024-10-28,235.39516366577146,266.6231246337891,3939,929075.9927788327,1048128.0309566301,119052.03817779745,0.12814025881964408,Leader rotation,+12.81%
130,TSLA,2024-10-28,2025-01-08,270.27,392.5570621948242,3846,1041537.3368399999,1506754.9122788913,465217.5754388914,0.4466643287607439,Supertrend down,+44.67%
131,MRVL,2025-01-23,2025-01-24,123.4833606109619,126.55332030487061,12050,1490950.4443528152,1521917.5746543435,30967.130301528377,0.020770060077329067,Leader rotation,+2.08%
132,PLTR,2025-01-24,2025-02-05,79.12905305480956,101.67821878051758,19401,1538253.123832993,1968713.8043157,430460.680482707,0.2798373517422752,Leader rotation,+27.98%
133,APP,2025-02-05,2025-03-04,377.74736511230464,323.676,5217,1974649.4197984752,1685240.456616,-289408.9631824752,-0.14656219999396713,Supertrend down,-14.66%
134,PLTR,2025-04-28,2025-08-26,113.89377877807615,155.23460939025878,14768,1685347.291644618,2287919.7020523907,602572.4104077728,0.3575360481457579,Supertrend down,+35.75%
135,IDXX,2025-08-26,2025-09-10,641.9913255615234,652.2570631713867,3556,2287486.9960041703,2314787.2644041763,27300.268400005996,0.011934611408805695,Leader rotation,+1.19%
136,AVGO,2025-09-10,2025-09-15,351.8715090026855,359.5101251220703,6566,2315009.1047678567,2355822.3945884104,40813.289820553735,0.01762986147073775,Leader rotation,+1.76%
137,WBD,2025-09-15,2025-10-01,18.788770458221432,19.51047068595886,124487,2343635.5833686762,2423942.364354395,80306.7809857186,0.034265899338449035,Leader rotation,+3.43%
138,PLTR,2025-10-01,2025-10-09,181.50132733154294,183.39642182922364,13316,2421705.4180963193,2437222.539571786,15517.121475466527,0.006407518172736548,Leader rotation,+0.64%
139,AMD,2025-10-09,2025-10-29,236.53630305480954,263.92581243896484,10345,2451861.9912122088,2724851.904621729,272989.9134095204,0.1113398365764271,Leader rotation,+11.13%
140,MU,2025-10-29,2025-11-28,229.28905755615233,235.3843751220703,11860,2724806.9590611984,2786075.3715698584,61268.412508659996,0.022485413986820246,Supertrend down,+2.25%
141,WDC,2026-01-28,2026-05-11,263.71346221923824,488.5409687805176,10544,2786155.9351309272,5140873.622872134,2354717.6877412065,0.8451492818655011,Leader rotation,+84.51%
142,MU,2026-05-11,2026-06-05,793.7729604492187,943.4556243896484,6463,5140414.952670067,6085358.593029437,944943.64035937,0.1838263348503688,Leader rotation,+18.38%
143,WDC,2026-06-05,2026-07-06,545.7952499999999,566.433,11119,6080834.779519499,6285572.1899459995,204737.41042650025,0.033669293419394286,Supertrend down,+3.37%
