label,start,end,initial_equity,final_equity,total_return,total_return_display,qqq_return,qqq_return_display,alpha,alpha_display,cagr,cagr_display,mdd,mdd_display,sharpe,sharpe_display,calmar,calmar_display,win_rate,win_rate_display,payoff_ratio,payoff_display,trade_count,rank,objective,objective_value,param_entry,param_market_filter,param_asset_filter,param_rs_method,param_rs_period,param_sell_confirm_bars,param_hurdle,param_max_positions,param_st_period,param_st_multiplier
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,294272.8191389453,28.427281913894532,+2842.73%,12.682212146110261,+1268.22%,15.74506976778427,+1574.51%,0.23964565882478883,+23.96%,-0.44820548590748643,-44.82%,0.8470343914895055,0.85,0.5346781027000946,0.53,0.5770609318996416,+57.71%,1.5472641344270264,1.55,279,33,total_return,28.427281913894532,single,1d,ichimoku_cloud+ema_trend,dual_momentum,125,4,2.5,2,10,3.0
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,274349.9751786554,26.43499751786554,+2643.50%,12.682212146110261,+1268.22%,13.752785371755278,+1375.28%,0.23413773143315497,+23.41%,-0.44820548590748643,-44.82%,0.8324116573838591,0.83,0.522389258487307,0.52,0.5754385964912281,+57.54%,1.516633500499085,1.52,285,34,total_return,26.43499751786554,single,1d,ichimoku_cloud+ema_trend,dual_momentum,125,4,2.0,2,10,3.0
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,274039.08381021844,26.403908381021843,+2640.39%,12.682212146110261,+1268.22%,13.721696234911581,+1372.17%,0.23404884810749715,+23.40%,-0.43946795280009143,-43.95%,0.8513033544147511,0.85,0.5325731867733324,0.53,0.5746268656716418,+57.46%,1.6990365867024306,1.70,268,35,total_return,26.403908381021843,single,1d,ichimoku_cloud+ema_trend,dual_momentum,125,4,3.0,2,10,3.0
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,166171.87862342093,15.617187862342092,+1561.72%,12.682212146110261,+1268.22%,2.934975716231831,+293.50%,0.1954514331339674,+19.55%,-0.44820548590748643,-44.82%,0.7505234872859703,0.75,0.4360755039359565,0.44,0.5833333333333334,+58.33%,1.4674437942657497,1.47,288,36,total_return,15.617187862342092,single,1d,ichimoku_cloud+ema_trend,dual_momentum,125,4,1.5,2,10,3.0
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,68753.98066331701,5.875398066331701,+587.54%,12.682212146110261,+1268.22%,-6.806814079778561,-680.68%,0.13028148999319344,+13.03%,-0.4249235241496174,-42.49%,0.6039067419573697,0.60,0.30659985288863595,0.31,0.6753246753246753,+67.53%,1.1139465236835613,1.11,77,37,total_return,5.875398066331701,single,1d,ichimoku_cloud+ema_trend,dual_momentum,125,5,1.5,1,10,3.0
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,63425.38625151772,5.3425386251517715,+534.25%,12.682212146110261,+1268.22%,-7.33967352095849,-733.97%,0.12450437299154316,+12.45%,-0.4090338801240774,-40.90%,0.5862824546986036,0.59,0.30438645560063554,0.30,0.6493506493506493,+64.94%,1.2782750523499862,1.28,77,38,total_return,5.3425386251517715,single,1d,ichimoku_cloud+ema_trend,dual_momentum,125,6,1.5,1,10,3.0
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,60683.46733055272,5.068346733055272,+506.83%,12.682212146110261,+1268.22%,-7.61386541305499,-761.39%,0.12135207977596352,+12.14%,-0.38175492491489094,-38.18%,0.577487429356524,0.58,0.31787953961043974,0.32,0.6546762589928058,+65.47%,1.5384327852548376,1.54,139,39,total_return,5.068346733055272,single,1d,ichimoku_cloud+ema_trend,dual_momentum,125,4,1.5,1,10,3.0
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,55468.559735778355,4.546855973577835,+454.69%,12.682212146110261,+1268.22%,-8.135356172532425,-813.54%,0.11496992358363323,+11.50%,-0.479547470957118,-47.95%,0.5542676840431544,0.55,0.23974669985052227,0.24,0.6527777777777778,+65.28%,1.1659944851920228,1.17,72,40,total_return,4.546855973577835,single,1d,ichimoku_cloud+ema_trend,dual_momentum,125,5,2.0,1,10,3.0
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,55041.86505838305,4.504186505838305,+450.42%,12.682212146110261,+1268.22%,-8.178025640271956,-817.80%,0.1144231278091532,+11.44%,-0.41173045407744924,-41.17%,0.5517740731308397,0.55,0.2779078561617146,0.28,0.6285714285714286,+62.86%,1.3344020053192645,1.33,70,41,total_return,4.504186505838305,single,1d,ichimoku_cloud+ema_trend,dual_momentum,125,6,2.0,1,10,3.0
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,51841.24468532396,4.184124468532396,+418.41%,12.682212146110261,+1268.22%,-8.498087677577866,-849.81%,0.11019029265906455,+11.02%,-0.49969387134006793,-49.97%,0.5366139189452779,0.54,0.22051559760690814,0.22,0.6338028169014085,+63.38%,1.2314428041669119,1.23,71,42,total_return,4.184124468532396,single,1d,ichimoku_cloud+ema_trend,dual_momentum,125,5,2.5,1,10,3.0
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,50475.143181659965,4.047514318165996,+404.75%,12.682212146110261,+1268.22%,-8.634697827944265,-863.47%,0.10830861567015337,+10.83%,-0.43480011948409525,-43.48%,0.529512963822823,0.53,0.24909978359404578,0.25,0.6086956521739131,+60.87%,1.4023473267183855,1.40,69,43,total_return,4.047514318165996,single,1d,ichimoku_cloud+ema_trend,dual_momentum,125,6,2.5,1,10,3.0
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,49436.715516547774,3.943671551654777,+394.37%,12.682212146110261,+1268.22%,-8.738540594455484,-873.85%,0.1068460976325154,+10.68%,-0.4556361857632506,-45.56%,0.5292075595533391,0.53,0.23449870965260172,0.23,0.6103896103896104,+61.04%,1.3669343020994502,1.37,77,44,total_return,3.943671551654777,single,1d,ichimoku_cloud+ema_trend,dual_momentum,125,4,2.0,1,10,3.0
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,48639.80854921699,3.8639808549216994,+386.40%,12.682212146110261,+1268.22%,-8.818231291188562,-881.82%,0.10570409372775602,+10.57%,-0.49977723087977255,-49.98%,0.5209804971378652,0.52,0.21150241987151355,0.21,0.6338028169014085,+63.38%,1.210347169677405,1.21,71,45,total_return,3.8639808549216994,single,1d,ichimoku_cloud+ema_trend,dual_momentum,125,5,3.0,1,10,3.0
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,48629.356955080824,3.8629356955080825,+386.29%,12.682212146110261,+1268.22%,-8.819276450602178,-881.93%,0.1056890000290307,+10.57%,-0.47657367485638913,-47.66%,0.5248610960085964,0.52,0.22176843918388706,0.22,0.6222222222222222,+62.22%,1.5868549899810642,1.59,135,46,total_return,3.8629356955080825,single,1d,ichimoku_cloud+ema_trend,dual_momentum,125,4,2.5,1,10,3.0
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,46465.95404568337,3.6465954045683375,+364.66%,12.682212146110261,+1268.22%,-9.035616741541924,-903.56%,0.10249738095815775,+10.25%,-0.46836644103380976,-46.84%,0.5081603403539172,0.51,0.21884014732549725,0.22,0.6029411764705882,+60.29%,1.3918640594412068,1.39,68,47,total_return,3.6465954045683375,single,1d,ichimoku_cloud+ema_trend,dual_momentum,125,6,3.0,1,10,3.0
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,44004.840731777826,3.4004840731777826,+340.05%,12.682212146110261,+1268.22%,-9.281728072932479,-928.17%,0.0986927733044296,+9.87%,-0.5004501322167554,-50.05%,0.49910140059205504,0.50,0.19720800725392496,0.20,0.6037735849056604,+60.38%,1.6343209227103959,1.63,106,48,total_return,3.4004840731777826,single,1d,ichimoku_cloud+ema_trend,dual_momentum,125,4,3.0,1,10,3.0
