trade_no,symbol,entry_time,exit_time,entry_price,exit_price,quantity,entry_value,exit_value,pnl_value,pnl_pct,exit_reason,pnl_pct_display,cumulative_pnl_value,realized_equity_after_trade,cumulative_return,cumulative_return_display,holding_days
14,VRTX,2017-07-20,2017-11-01,160.01997244262694,147.27633110046386,316,50616.87760316198,46492.781307118836,-4124.0962960431425,-0.08147670285741837,Supertrend down,-8.15%,36673.04728531711,46673.04728531711,3.667304728531711,+366.73%,104
15,NVDA,2017-11-01,2017-12-06,5.236366741418839,4.640178673744202,8904,46671.23407505893,41274.834760107355,-5396.399314951574,-0.1156258115282065,Supertrend down,-11.56%,31276.647970365535,41276.647970365535,3.1276647970365534,+312.77%,35
16,DLTR,2017-12-19,2018-01-08,109.57475664138794,110.70462213516235,376,41241.30860565902,41583.31298489823,342.0043792392098,0.008292762543240073,Leader rotation,+0.83%,31618.652349604745,41618.652349604745,3.161865234960475,+316.19%,20
17,TTWO,2018-01-08,2018-01-22,116.55824999999999,117.71111164474488,356,41536.23173699999,41863.250589783645,327.0188527836581,0.00787309871666464,Leader rotation,+0.79%,31945.671202388403,41945.6712023884,3.1945671202388404,+319.46%,14
18,ALGN,2018-01-22,2018-02-12,269.7748346557617,233.133375,155,41856.91447101471,36099.537451875,-5757.377019139705,-0.1375490069418902,Supertrend down,-13.75%,26188.294183248698,36188.2941832487,2.6188294183248697,+261.88%,21
19,NVDA,2018-02-16,2018-03-13,6.138067728996276,6.2841064169406895,5863,36023.47858620027,36806.87220660074,783.3936204004713,0.021746751039766865,Leader rotation,+2.17%,26971.68780364917,36971.68780364917,2.6971687803649167,+269.72%,25
20,MU,2018-03-13,2018-04-02,62.20108316802978,51.51423091506958,593,36922.1275609603,30517.390993703626,-6404.7365672566775,-0.17346607550396798,Supertrend down,-17.35%,20566.95123639249,30566.95123639249,2.056695123639249,+205.67%,20
21,NFLX,2018-05-11,2018-07-24,32.981482652664184,36.675653244018555,925,30538.379325168084,33891.05427146645,3352.6749462983644,0.10978562125381908,Supertrend down,+10.98%,23919.626182690856,33919.62618269086,2.391962618269086,+239.20%,74
22,ALGN,2018-07-24,2018-08-30,379.14947145080566,382.88844657897954,88,33398.51864115857,33660.48911565125,261.97047449268575,0.00784377526762059,Leader rotation,+0.78%,24181.59665718354,34181.596657183545,2.4181596657183544,+241.82%,37
23,AMZN,2018-08-30,2018-09-05,99.92093769836426,101.85454956817628,341,34107.11279489735,34697.66900134536,590.5562064480109,0.017314752204307338,Leader rotation,+1.73%,24772.152863631552,34772.15286363155,2.4772152863631547,+247.72%,6
24,ILMN,2018-09-05,2018-10-11,343.45957731628414,296.3109073944092,101,34724.10672625364,29897.474245188492,-4826.632481065146,-0.13899947143682467,Supertrend down,-13.90%,19945.520382566407,29945.520382566407,1.9945520382566406,+199.46%,36
25,ILMN,2018-12-04,2018-12-24,340.57877362060543,268.416322845459,87,29659.983658297664,23328.867867467376,-6331.1157908302885,-0.21345648277385676,Supertrend down,-21.35%,13614.404591736118,23614.404591736118,1.361440459173612,+136.14%,20
26,REGN,2019-01-10,2019-01-25,399.5996938934326,410.6445811004639,59,23599.958321652233,24203.80225464244,603.8439329902067,0.025586652516932595,Leader rotation,+2.56%,14218.248524726325,24218.248524726325,1.4218248524726325,+142.18%,15
27,WDAY,2019-01-25,2019-03-05,173.19655561065673,180.23983683013918,139,24098.395551111167,25028.283982069956,929.8884309587884,0.0385871511232585,Leader rotation,+3.86%,15148.136955685113,25148.136955685113,1.5148136955685114,+151.48%,39
28,SBUX,2019-03-05,2019-03-22,71.22559744262695,72.01397805023194,351,25025.184887064417,25251.62938933578,226.44450227136258,0.009048664507106619,Leader rotation,+0.90%,15374.581457956476,25374.581457956476,1.5374581457956475,+153.75%,17
29,WDAY,2019-03-22,2019-04-26,196.34812499999998,199.85002194976806,128,25157.692559999996,25555.22200676074,397.5294467607455,0.015801506668890797,Leader rotation,+1.58%,15772.110904717221,25772.11090471722,1.5772110904717223,+157.72%,35
30,MELI,2019-04-26,2019-09-04,491.43559744262694,585.707,52,25580.205718083616,30426.307236,4846.101517916384,0.18944732389272745,Supertrend down,+18.94%,20618.212422633605,30618.212422633605,2.0618212422633606,+206.18%,131
31,QCOM,2019-09-06,2019-10-15,78.9994790840149,76.84155725479127,387,30603.371203919276,29707.94497494662,-895.4262289726576,-0.029259071590713615,Supertrend down,-2.93%,19722.786193660948,29722.786193660948,1.9722786193660946,+197.23%,39
32,ASML,2019-10-16,2019-10-25,260.3901397705078,262.3187872009278,110,28671.55829013061,28826.211525509952,154.6532353793409,0.005393959889252953,Leader rotation,+0.54%,19877.43942904029,29877.43942904029,1.9877439429040287,+198.77%,9
33,LRCX,2019-10-25,2019-11-08,26.51325,27.11643416118622,1125,29857.233656249995,30475.48244290316,618.2487866531665,0.020706834188697565,Leader rotation,+2.07%,20495.688215693455,30495.688215693455,2.0495688215693457,+204.96%,14
34,QCOM,2019-11-08,2019-12-04,90.02499335861205,80.87953816986085,338,30458.87620296608,27309.946617511556,-3148.9295854545235,-0.10338298643952859,Supertrend down,-10.34%,17346.75863023893,27346.75863023893,1.734675863023893,+173.47%,26
35,AMD,2019-12-04,2019-12-17,39.39969106864929,42.488743322372436,693,27331.289896484526,29415.254423281694,2083.964526797168,0.07624830495340862,Leader rotation,+7.62%,19430.7231570361,29430.7231570361,1.9430723157036098,+194.31%,13
36,TSLA,2019-12-17,2020-02-12,25.278633748054503,51.832072708129886,1151,29124.80315145474,59599.05697137044,30474.2538199157,1.0463333833174269,Supertrend down,+104.63%,49904.9769769518,59904.9769769518,4.99049769769518,+499.05%,57
37,LRCX,2020-02-12,2020-02-20,32.816399236679075,33.17840219497681,1823,59884.120104274414,60423.742974241286,539.6228699668718,0.009011117956266856,Leader rotation,+0.90%,50444.599846918674,60444.599846918674,5.044459984691867,+504.45%,8
38,NVDA,2020-02-20,2020-03-02,7.823159731864929,6.919038883447647,7715,60416.03300866926,53327.0046008128,-7089.0284078564655,-0.11733687325745534,Supertrend down,-11.73%,43355.57143906221,53355.57143906221,4.335557143906221,+433.56%,11
39,REGN,2020-04-15,2020-04-20,525.5626377868653,566.42666696167,101,53134.90824288986,57151.88426976554,4016.97602687568,0.07559956645663735,Leader rotation,+7.56%,47372.54746593789,57372.54746593789,4.737254746593789,+473.73%,5
40,TSLA,2020-04-20,2020-07-02,48.8710915775299,81.3912832069397,1143,55915.517330789786,92937.20646882655,37021.68913803677,0.6621004491297238,Leader rotation,+66.21%,84394.23660397466,94394.23660397466,8.439423660397466,+843.94%,73
41,ZM,2020-07-02,2020-07-09,261.1305,268.8755047607422,333,87043.41295649999,89446.00754224183,2402.594585741841,0.027602256209123377,Leader rotation,+2.76%,86796.8311897165,96796.8311897165,8.67968311897165,+867.97%,7
42,TSLA,2020-07-09,2020-07-29,93.17923387527465,100.01663231658937,1037,96723.49239418846,103613.53046459086,6890.038070402399,0.07123438060241494,Leader rotation,+7.12%,93686.8692601189,103686.8692601189,9.36868692601189,+936.87%,20
43,ZM,2020-07-29,2020-08-18,255.67777805328367,271.58414122009276,403,103141.18270002879,109338.96050278567,6197.777802756886,0.06009023399297475,Supertrend down,+6.01%,99884.64706287578,109884.64706287578,9.988464706287578,+998.85%,20
44,TSLA,2020-08-18,2020-08-26,126.66263438415527,137.2646615829468,866,109799.53121805513,118752.32573390109,8952.794515845962,0.08153763879069986,Leader rotation,+8.15%,108837.44157872174,118837.44157872174,10.883744157872174,+1088.37%,8
45,ZM,2020-08-26,2020-09-15,293.1465,409.795,401,117669.2982465,164163.46720500002,46494.16895850003,0.3951257435146893,Supertrend down,+39.51%,155331.61053722177,165331.61053722177,15.533161053722178,+1553.32%,20
46,ZM,2020-10-13,2020-10-26,494.24699999999996,520.2287691650391,334,165243.57649799998,173582.65249222194,8339.07599422196,0.05046535648133288,Leader rotation,+5.05%,163670.68653144373,173670.68653144373,16.367068653144372,+1636.71%,13
47,ALGN,2020-10-26,2020-11-09,462.9613759918213,500.7495,362,167759.61012714833,181090.04768100003,13330.43755385169,0.07946154347729051,Leader rotation,+7.95%,177001.12408529542,187001.12408529542,17.70011240852954,+1770.01%,14
48,PDD,2020-11-09,2020-11-19,112.63629183197021,134.37278244018555,1557,175550.08108876,209009.20383710953,33459.12274834953,0.19059588318522191,Leader rotation,+19.06%,210460.24683364495,220460.24683364495,21.046024683364497,+2104.60%,10
49,TSLA,2020-11-19,2021-02-16,164.082,272.53032316589355,1337,219597.01163399997,364008.6690307269,144411.65739672692,0.6576212322844188,Leader rotation,+65.76%,354871.9042303719,364871.9042303719,35.487190423037184,+3548.72%,89
50,MRNA,2021-02-16,2021-03-03,182.50120866394042,146.0169513397217,1978,361348.37812801136,288532.70822021953,-72815.66990779183,-0.20151099137352746,Supertrend down,-20.15%,282056.23432258004,292056.23432258004,28.205623432258005,+2820.56%,15
51,AMAT,2021-04-06,2021-05-17,143.9519448852539,121.93900000000001,2026,291938.2869778619,246801.36558600003,-45136.92139186186,-0.15461117436537075,Supertrend down,-15.46%,236919.31293071818,246919.31293071818,23.691931293071818,+2369.19%,41
52,MRNA,2021-06-11,2021-07-08,212.0059438934326,215.55217366027833,1136,241079.59101520234,244622.40200879812,3542.8109935957764,0.014695607283373713,Leader rotation,+1.47%,240462.12392431396,250462.12392431396,24.046212392431396,+2404.62%,27
53,AMAT,2021-07-08,2021-07-22,131.70581938934325,136.9315,1899,250359.46037138317,259772.8855815,9413.425210116839,0.037599638520361855,Leader rotation,+3.76%,249875.5491344308,259875.5491344308,24.98755491344308,+2498.76%,14
54,MRNA,2021-07-22,2021-09-07,319.1595,409.29525,813,259736.15017349995,332424.28121175,72688.13103825005,0.27985373229600663,Supertrend down,+27.99%,322563.6801726809,332563.6801726809,32.25636801726809,+3225.64%,47
55,NVDA,2021-09-07,2021-10-05,22.84441668319702,19.940025762557983,14543,332558.578175558,289697.80687021586,-42860.77130534215,-0.1288818695956654,Supertrend down,-12.89%,279702.90886733873,289702.90886733873,27.970290886733874,+2797.03%,28
