symbol,entry_time,exit_time,entry_price,exit_price,quantity,corporate_action_cash,pnl_pct,exit_reason
NVDA,2017-09-19,2017-09-26,185.60275499999997,176.361775,16.0,0.0,-0.05168754730403191,Supertrend down
BIDU,2017-09-26,2017-10-09,236.408145,248.03592,18.0,0.0,0.04708889677326389,Leader rotation
PYPL,2017-09-01,2017-10-17,62.01098999999999,67.61617500000001,150.0,0.0,0.08821158551496722,Leader rotation
MU,2017-10-09,2017-10-20,39.73986,41.979,147.0,0.0,0.05423436001349469,Leader rotation
BIIB,2017-10-20,2017-10-25,343.1715,317.80102,18.0,0.0,-0.0757797400801844,Supertrend down
GILD,2017-09-26,2017-10-27,83.711835,74.97249500000001,70.0,0.0,-0.10618731741820231,Supertrend down
BIDU,2017-10-17,2017-10-30,273.83684999999997,240.83952000000002,36.0,0.0,-0.1222572047631929,Supertrend down
PYPL,2017-10-30,2017-11-14,71.485725,74.06295,135.0,0.0,0.033982268179026054,Leader rotation
NVDA,2017-10-25,2017-11-30,197.17854,199.1004,30.0,4.5,0.008489296821282855,Supertrend down
MU,2017-11-14,2017-11-30,45.60279,44.13792,218.0,0.0,-0.034056198148131545,Supertrend down
ALGN,2017-10-27,2017-12-05,225.75281999999999,224.90749000000002,19.0,0.0,-0.0057350141379654,Supertrend down
ROST,2017-11-30,2018-01-16,76.00798499999999,84.03796,68.0,0.0,0.10343738211205067,Leader rotation
DLTR,2017-11-30,2018-01-18,104.202075,113.013465,45.0,0.0,0.0823936459147181,Leader rotation
MYL,2018-01-16,2018-02-01,46.72335,42.628675,111.0,0.0,-0.0894594924769343,Supertrend down
STX,2017-12-19,2018-02-06,42.231105,48.05596,237.0,0.0,0.1356544920125604,Supertrend down
ALGN,2018-01-18,2018-02-06,272.386125,232.593645,20.0,0.0,-0.1477946153367118,Supertrend down
NFLX,2018-02-01,2018-02-09,266.543205,253.723075,18.0,0.0,-0.04999965844482579,Supertrend down
QRTEA,2018-02-26,2018-03-20,20.353871849999997,18.7464221,1.0,0.0,-0.08081534319040073,Supertrend down
NVDA,2018-02-16,2018-03-28,245.5227,224.017935,84.0,12.6,-0.08880035586065205,Supertrend down
NFLX,2018-05-11,2018-07-18,329.814825,381.04938000000004,57.0,0.0,0.1530350176873423,Supertrend down
ILMN,2018-07-18,2018-07-31,305.66275499999995,312.95344500000004,3.0,0.0,0.021806413383954837,Supertrend down
SHPG,2018-07-18,2018-09-07,172.37614499999998,166.306805,5.0,0.8400000000000001,-0.036163873840194816,Supertrend down
ALGN,2018-07-18,2018-10-05,374.04693,356.0219,1.0,0.0,-0.05009094037353112,Supertrend down
ILMN,2018-08-28,2018-10-05,348.18400499999996,333.833,58.0,0.0,-0.043132377666225574,Supertrend down
