param_entry,param_market_filter,param_asset_filter,param_rs_period,param_st_period,param_st_multiplier,param_sell_confirm_bars,param_max_positions,start,end,total_return,qqq_return,alpha,mdd,cagr,calmar,sharpe,sortino,win_rate,payoff_ratio,trade_count,score
triple,none,none,50,,,1,9,2010-03-18 00:00:00,2026-07-16 00:00:00,0.7259835696692896,13.743779643059835,-13.017796073390546,-0.48519754818092875,0.033990876506631684,0.07005574664189479,0.2623880561543366,0.3667402588626484,0.5259549461312438,0.9839273063188366,3063,0.34569717280917667
triple,none,none,50,,,1,10,2010-03-18 00:00:00,2026-07-16 00:00:00,0.379479824426886,13.743779643059835,-13.364299818632949,-0.40709347357045667,0.019897462320360937,0.04887688850879412,0.1994149121745547,0.2757802301222053,0.5239512049985123,0.9867469428195063,3361,0.05978749293575727
triple,none,none,100,,,1,3,2010-05-28 00:00:00,2026-07-16 00:00:00,2.717594341476618,14.464803309684998,-11.74720896820838,-0.5342834859461616,0.08478836543097557,0.15869546347820204,0.41758955313510304,0.6075157156911741,0.5602049530315969,0.9481360889585261,1171,2.302695239313742
triple,none,none,100,,,1,4,2010-05-28 00:00:00,2026-07-16 00:00:00,2.4574763977808334,14.464803309684998,-12.007326911904164,-0.5328624119665728,0.07992219424572289,0.1499865489681725,0.41156943036524263,0.5950430817987916,0.5581699346405229,0.9352138979384286,1530,2.043533551118532
triple,none,none,100,,,1,5,2010-05-28 00:00:00,2026-07-16 00:00:00,1.658197374102143,14.464803309684998,-12.806605935582855,-0.5143805189088195,0.06246846873063605,0.12144407969250752,0.3621102788310781,0.5093773365044313,0.5562162162162162,0.9376893723642478,1850,1.2575562673400196
triple,none,none,100,,,1,6,2010-05-28 00:00:00,2026-07-16 00:00:00,2.0364231936334196,14.464803309684998,-12.428380116051578,-0.458820848551019,0.0712651272397411,0.1553223386966835,0.3994594883614401,0.5623917290456971,0.5369158878504673,1.019764933066005,2140,1.6813502994434477
triple,none,none,100,,,1,7,2010-05-28 00:00:00,2026-07-16 00:00:00,1.5953124065747684,14.464803309684998,-12.86949090311023,-0.44737211705410107,0.06089305115585342,0.1361127545382753,0.36666007750283025,0.5113586216507479,0.5321326238231683,1.0184924022273816,2443,1.2484145152565724
triple,none,none,100,,,1,8,2010-05-28 00:00:00,2026-07-16 00:00:00,1.5212105077662308,14.464803309684998,-12.943592801918767,-0.4536730119996536,0.05899000049220615,0.13002757257302136,0.3651265454093675,0.5085448053945973,0.5368536853685368,0.9989285398310835,2727,1.169225894528789
triple,none,none,100,,,1,9,2010-05-28 00:00:00,2026-07-16 00:00:00,1.663370845457488,14.464803309684998,-12.80143246422751,-0.44627115683488383,0.06259651547768064,0.14026565355833823,0.3856068763514434,0.5385281528594869,0.536,1.006371046562465,3000,1.3179221262801244
triple,none,none,100,,,1,10,2010-05-28 00:00:00,2026-07-16 00:00:00,1.2985842888139798,14.464803309684998,-13.166219020871019,-0.43327847655014484,0.05293953310424393,0.12218362085686721,0.3483183809485019,0.4820272247429664,0.5335169880624426,1.0042621490997083,3267,0.9624110590023189
triple,none,ichimoku_cloud,50,,,1,3,2010-04-27 00:00:00,2026-07-16 00:00:00,0.3737489155723033,13.292561920213759,-12.918813004641455,-0.6163897362010353,0.01977136524925238,0.03207607798778135,0.21507143908436224,0.30422972353654315,0.5563442768411713,0.8812782799047288,1127,-0.11291073021599415
triple,none,ichimoku_cloud,50,,,1,4,2010-04-27 00:00:00,2026-07-16 00:00:00,-0.12148975856688071,13.292561920213759,-13.41405167878064,-0.6481291150776697,-0.007954352924318675,-0.012272790620377316,0.10705538927842752,0.14917738881370263,0.5393028024606972,0.8966668645444533,1463,-0.6367813889506636
triple,none,ichimoku_cloud,50,,,1,5,2010-04-27 00:00:00,2026-07-16 00:00:00,0.1943714958097973,13.292561920213759,-13.098190424403962,-0.6043578729078187,0.011011526131931015,0.01822020796874864,0.1707109074423193,0.23940567859445458,0.532058492688414,0.9560470705451606,1778,-0.28399347529318814
triple,none,ichimoku_cloud,50,,,1,6,2010-04-27 00:00:00,2026-07-16 00:00:00,0.5091015926625404,13.292561920213759,-12.783460327551218,-0.5029155362206812,0.02569694526676658,0.05109594636879674,0.22631452932771126,0.31749909032542534,0.5353390639923591,0.9458365904488609,2094,0.11355859956582677
triple,none,ichimoku_cloud,50,,,1,7,2010-04-27 00:00:00,2026-07-16 00:00:00,0.2460485270402024,13.292561920213759,-13.046513393173557,-0.5374585902771964,0.013655312746821302,0.025407190421458364,0.17432141423973932,0.2424595878558166,0.5243445692883895,0.9713145426447848,2403,-0.17868870275436258
triple,none,ichimoku_cloud,50,,,1,8,2010-04-27 00:00:00,2026-07-16 00:00:00,0.2630649364760218,13.292561920213759,-13.029496983737737,-0.5236134021558874,0.014503382096211936,0.027698645673500288,0.1762726938308853,0.24628558347118454,0.5223880597014925,0.9703506305059283,2680,-0.15053760443376157
triple,none,ichimoku_cloud,50,,,1,9,2010-04-27 00:00:00,2026-07-16 00:00:00,0.5132553984600183,13.292561920213759,-12.77930652175374,-0.4645885374750046,0.025870790078958095,0.055685381777956525,0.22681758634377905,0.31597719465147517,0.5174537987679672,1.0023493181553615,2922,0.14838909607032796
triple,none,ichimoku_cloud,50,,,1,10,2010-04-27 00:00:00,2026-07-16 00:00:00,0.1406485857648372,13.292561920213759,-13.15191333444892,-0.4604329560705205,0.008146749246079166,0.017693671008274653,0.14273524989638858,0.19637092546808757,0.5196384039900249,0.9815335162650217,3208,-0.2234157215946876
triple,none,ichimoku_cloud,100,,,1,3,2010-05-28 00:00:00,2026-07-16 00:00:00,2.35783864206714,14.464803309684998,-12.106964667617858,-0.554230859646285,0.07796672183116748,0.14067553344273634,0.39877435158421426,0.5748045973473174,0.5559410234171726,0.957038958565637,1153,1.9264171848976384
triple,none,ichimoku_cloud,100,,,1,4,2010-05-28 00:00:00,2026-07-16 00:00:00,2.491061607225851,14.464803309684998,-11.973741702459147,-0.5411888270940179,0.0805694327772255,0.14887490048501795,0.4156572238973012,0.6024786286240185,0.5589022757697456,0.9342288056597685,1494,2.0705802622675558
triple,none,ichimoku_cloud,100,,,1,5,2010-05-28 00:00:00,2026-07-16 00:00:00,2.250391242619648,14.464803309684998,-12.21441206706535,-0.4961903088246721,0.07579601817061032,0.15275594227172362,0.41168962767166656,0.5822204622286198,0.5530600786075238,0.9495003465838376,1781,1.86578968439006
