trade_no,trade_id,symbol,entry_time,exit_time,entry_price,exit_price,quantity,corporate_action_cash,entry_cost,exit_proceeds,pnl_cash,pnl_pct,exit_reason,pnl_pct_display
16,16,NVDA,2017-05-16,2017-07-06,136.44818999999998,141.799065,229.0,32.06,31277.882145509993,32439.513899115,1193.6917536050096,0.038164085025058636,Supertrend down,+3.82%
17,17,NVDA,2017-07-19,2017-07-24,166.413165,168.305805,195.0,0.0,32483.017742174998,32786.812343025,303.7946008500003,0.009352413105866209,Leader rotation,+0.94%
18,18,VRTX,2017-07-25,2017-10-27,167.02346999999997,141.339295,196.0,0.0,32769.336720119994,27674.799318179997,-5094.537401939997,-0.1554666011537551,Supertrend down,-15.55%
19,19,NVDA,2017-10-30,2017-11-01,201.96093,209.245325,137.0,0.0,27696.316057409993,28637.942915475,941.6268580650067,0.033998270965465816,Leader rotation,+3.40%
20,20,ALGN,2017-11-02,2017-12-06,235.49768999999998,228.04592,121.0,0.0,28523.715710489992,27565.96276368,-957.7529468099929,-0.033577425764966695,Supertrend down,-3.36%
21,21,DLTR,2017-12-20,2018-01-09,109.68481499999999,109.44525,252.0,0.0,27668.213953379996,27552.622797,-115.59115637999639,-0.004177759958585048,Leader rotation,-0.42%
22,22,TTWO,2018-01-10,2018-01-12,113.97695999999999,116.89152500000002,242.0,0.0,27610.006744319995,28259.461300950003,649.4545566300076,0.023522433827859013,Leader rotation,+2.35%
23,23,ALGN,2018-01-16,2018-02-07,262.25106,240.8795,107.0,0.0,28088.924283419994,25748.3323935,-2340.5918899199933,-0.08332792905499664,Supertrend down,-8.33%
24,24,NVDA,2018-02-20,2018-02-27,244.87237499999998,245.37725,105.0,15.75,25737.310974374996,25738.84663875,17.28566437500558,0.0006716188957041069,Leader rotation,+0.07%
25,25,ALGN,2018-02-28,2018-03-12,265.03245,271.933965,97.0,0.0,25733.855797649998,26351.217010394997,617.3612127449996,0.023990233628393032,Leader rotation,+2.40%
26,26,MU,2018-03-13,2018-03-27,62.201085,55.03247,427.0,0.0,26586.423158294998,23475.365825310004,-3111.057332984994,-0.11701676883956236,Supertrend down,-11.70%
27,27,NFLX,2018-05-14,2018-07-19,327.41362499999997,370.87447000000003,71.0,0.0,23269.613742374997,26305.75528263,3036.1415402550047,0.1304766625638507,Supertrend down,+13.05%
28,28,ALGN,2018-07-20,2018-09-04,371.24553,386.44668,2.0,0.0,743.2335510599999,772.12046664,28.886915580000164,0.03886653870617329,Leader rotation,+3.89%
29,29,AMZN,2018-07-20,2018-09-05,1825.922505,2037.090945,14.0,0.0,25588.477985069996,28490.75395677,2902.2759717000044,0.11342120361333663,Leader rotation,+11.34%
30,30,ILMN,2018-09-06,2018-10-08,349.284555,328.85549,84.0,0.0,29369.242522619996,27596.23729884,-1773.0052237799973,-0.06036945700640528,Supertrend down,-6.04%
31,31,XLNX,2018-12-06,2018-12-13,87.80388,91.264345,301.0,0.0,26455.39684788,27443.097277155,987.7004292749989,0.037334553511116475,Leader rotation,+3.73%
