trade_no,trade_id,symbol,entry_time,exit_time,entry_price,exit_price,quantity,corporate_action_cash,entry_cost,exit_proceeds,pnl_cash,pnl_pct,exit_reason,pnl_pct_display
21,21,DLTR,2017-12-20,2018-01-17,110.34259499999999,113.74581500000001,214.0,0.0,23684.155275989997,24268.57959677,584.4243207800027,0.024675751107427812,Leader rotation,+2.47%
22,22,ALGN,2018-01-18,2018-02-07,274.01962499999996,239.4335,88.0,0.0,24186.06818099999,21006.937556,-3179.1306249999907,-0.13144470615101633,Supertrend down,-13.14%
23,23,NVDA,2018-02-20,2018-03-14,246.34087499999998,247.828575,85.0,12.75,21001.791298124997,21002.232588375,13.191290250004386,0.0006281031014332417,Leader rotation,+0.06%
24,24,MU,2018-03-15,2018-03-27,60.158505,54.702110000000005,350.0,0.0,21118.643180249997,19088.301284500005,-2030.3418957499925,-0.0961397888311667,Supertrend down,-9.61%
25,25,NFLX,2018-05-14,2018-07-19,329.377125,368.64811000000003,57.0,0.0,18830.819613374995,20949.903443190004,2119.0838298150084,0.11253274543131853,Supertrend down,+11.25%
26,26,ALGN,2018-07-20,2018-09-04,373.47189,384.12684,2.0,0.0,749.1846113399998,765.94891896,16.76430762000018,0.022376737811012015,Leader rotation,+2.24%
27,27,AMZN,2018-07-20,2018-09-05,1836.872565,2024.862285,11.0,0.0,20266.215009644995,22206.664679595,1940.449669950005,0.09574800568465869,Leader rotation,+9.57%
28,28,ILMN,2018-09-06,2018-10-08,351.379215,326.88137,65.0,0.0,22908.167921924996,21183.547182849998,-1724.6207390749987,-0.07528409713744044,Supertrend down,-7.53%
29,29,XLNX,2018-12-06,2018-12-14,88.33044,87.477675,232.0,0.0,20554.140066239997,20233.936138200002,-320.20392803999493,-0.015578561156441961,Leader rotation,-1.56%
30,30,CI,2018-12-17,2018-12-20,402.76540673788,193.543735,52.331,10481.25,21140.347849499998,10097.952184696145,-561.1456648038547,-0.026543823630467256,Supertrend down,-2.65%
31,31,REGN,2019-01-11,2019-01-29,408.28672499999993,413.01782000000003,50.0,0.0,20475.579258749993,20588.938327000003,113.35906825001075,0.005536305802023467,Leader rotation,+0.55%
32,32,XLNX,2019-01-30,2019-04-29,112.20461999999999,117.779425,184.0,66.24,20707.587030239996,21606.3999574,965.0529271600062,0.0466038329695635,Supertrend down,+4.66%
33,33,MELI,2019-04-30,2019-08-07,494.765205,593.09963,43.0,0.0,21338.728526444997,25426.774237730002,4088.0457112850054,0.19157869252700355,Supertrend down,+19.16%
34,34,QCOM,2019-09-09,2019-10-10,79.55376,73.866725,323.0,200.26,25772.952073439996,23787.375318475002,-1785.3167549649952,-0.06927094536464962,Supertrend down,-6.93%
35,35,HAS,2019-10-18,2019-10-24,123.09495,98.64461500000002,1.0,0.0,123.46423484999998,98.34868115500002,-25.11555369499996,-0.20342371801448023,Supertrend down,-20.34%
36,36,ASML,2019-10-17,2019-10-28,257.855235,265.651965,92.0,0.0,23793.849664859998,24366.66083766,572.811172800004,0.024073917456323146,Leader rotation,+2.41%
37,37,LRCX,2019-10-29,2019-11-26,282.29305500000004,268.245,86.0,0.0,24350.034338190002,22999.86279,-1350.1715481900028,-0.05544844534664273,Supertrend down,-5.54%
38,38,AMD,2019-11-27,2019-12-18,39.71649,42.511865,582.0,0.0,23184.342171539996,24667.67971371,1483.3375421700039,0.06398014363292481,Leader rotation,+6.40%
39,39,TSLA,2019-12-19,2020-02-07,399.90258,725.80092825,61.0,0.0,24467.239552139996,44141.03505338025,19673.795501240253,0.8040872555040444,Supertrend down,+80.41%
40,40,LRCX,2020-02-10,2020-02-20,316.02087,329.792325,139.0,0.0,44058.68163279,45703.609775475,1644.9281426849993,0.03733493789929443,Leader rotation,+3.73%
41,41,SGEN,2020-02-21,2020-03-02,119.10921,107.46689500000001,385.0,0.0,45994.61698755,41250.630311275,-4743.986676274995,-0.10314221504571097,Supertrend down,-10.31%
42,42,REGN,2020-04-16,2020-04-21,522.29298,562.3806099999999,78.0,0.0,40861.06899731999,43734.090517259996,2873.0215199400045,0.07031195194938333,Leader rotation,+7.03%
43,43,SGEN,2020-04-17,2020-04-22,136.632375,139.05026,2.0,0.0,274.08454424999996,277.26621844,3.181674190000024,0.01160836777099683,Leader rotation,+1.16%
44,44,TSLA,2020-04-23,2020-06-03,732.32990325,882.34722,60.0,0.0,44071.613577585,52782.0107004,8710.397122815004,0.19764189272264687,Leader rotation,+19.76%
45,45,ZM,2020-06-04,2020-07-07,221.94331499999998,259.84992500000004,237.0,0.0,52758.36735196499,61399.67892832501,8641.311576360022,0.1637903523191222,Leader rotation,+16.38%
46,46,TSLA,2020-07-08,2020-07-24,1414.13300325,1406.8064317500002,43.0,0.0,60990.142297169245,60311.198535554264,-678.9437616149808,-0.011132024554179387,Leader rotation,-1.11%
47,47,MRNA,2020-07-27,2020-08-17,81.13396499999999,68.70052500000001,747.0,0.0,60788.89307056499,51165.33429847501,-9623.558772089978,-0.1583111368867789,Supertrend down,-15.83%
48,48,TSLA,2020-08-18,2020-08-27,1911.3329317499997,2166.28701,26.0,0.0,49843.74019417649,56154.49187322,6310.751679043511,0.1266107169016346,Leader rotation,+12.66%
49,49,ZM,2020-08-28,2020-09-10,301.16493,397.40000000000003,190.0,0.0,57393.0007101,75279.482,17886.481289900003,0.31164917443935547,Supertrend down,+31.16%
50,50,ZM,2020-10-14,2020-11-02,522.15207,459.285115,143.0,0.0,74891.74924803,65480.738130665006,-9411.011117364993,-0.12566152095335847,Supertrend down,-12.57%
51,51,PDD,2020-11-10,2020-11-20,101.79741,141.086935,2.0,0.0,204.20560446,281.32734839,77.12174393000001,0.37766712688390824,Leader rotation,+37.77%
52,52,ALGN,2020-11-09,2020-12-07,504.25649999999996,518.50765,130.0,0.0,65750.005035,67203.7765165,1453.7714815000072,0.022110591181341066,Leader rotation,+2.21%
53,53,TSLA,2020-12-08,2021-02-17,629.57571435,774.0260143500001,106.0,0.0,66935.23079826329,81800.61724853671,14865.386450273421,0.2220861312195419,Leader rotation,+22.21%
54,54,MRNA,2021-02-18,2021-02-26,172.705335,156.95313,475.0,0.0,82281.13922737498,74329.07853975,-7952.06068762498,-0.0966449998419483,Supertrend down,-9.66%
55,55,AMAT,2021-04-07,2021-05-12,141.161625,118.554355,525.0,0.0,74332.18268437499,62054.313265875004,-12277.869418499984,-0.16517568804125615,Supertrend down,-16.52%
56,56,MRNA,2021-06-14,2021-07-09,214.656255,230.45226000000002,283.0,0.0,60929.963325494995,65022.33561126001,4092.3722857650137,0.06716518544255612,Leader rotation,+6.72%
57,57,AMAT,2021-07-12,2021-07-20,136.873935,128.3602,482.0,0.0,66171.15638001,61684.0075508,-4487.148829209997,-0.06781125001716826,Supertrend down,-6.78%
58,58,MRNA,2021-07-21,2021-09-01,300.450315,380.35154,204.0,0.0,61475.73985277999,77358.93901752001,15883.199164740021,0.25836531943782326,Supertrend down,+25.84%
59,59,NVDA,2021-09-02,2021-09-30,226.64367,206.334054,341.0,0.0,77517.34794440998,70148.832676758,-7368.515267651979,-0.09505633852355433,Supertrend down,-9.51%
60,60,TEAM,2021-10-20,2021-11-08,417.59684999999996,438.143435,167.0,0.0,69947.88997184999,72950.443784065,3002.5538122150174,0.042925580934941365,Leader rotation,+4.29%
61,61,NVDA,2021-11-09,2021-12-15,324.91832999999997,282.154,224.0,8.96,73000.05103775999,63012.888512,-9978.202525759989,-0.13668761026754173,Supertrend down,-13.67%
62,62,PANW,2022-03-24,2022-04-04,608.9318961,612.1543639,103.0,0.0,62908.1452541949,62862.743783254904,-45.40147093999258,-0.000721710531387254,Leader rotation,-0.07%
63,63,DLTR,2022-04-05,2022-05-03,157.185105,162.705495,401.0,0.0,63220.320786314995,65049.16878451501,1828.8479982000135,0.02892816701107126,Supertrend down,+2.89%
64,64,VRTX,2022-07-22,2022-08-24,286.39957499999997,285.482225,225.0,0.0,64633.22408812498,64040.80012312501,-592.4239649999727,-0.0091659355286412,Leader rotation,-0.92%
65,65,TMUS,2022-08-25,2022-09-15,146.254515,140.97765,439.0,0.0,64398.34928125499,61703.52078495,-2694.828496304988,-0.041846235600473625,Supertrend down,-4.18%
66,66,PDD,2022-11-15,2023-01-18,70.39461,95.485285,875.0,0.0,61780.06960125,83298.975501875,21518.905900625003,0.34831469176897145,Leader rotation,+34.83%
67,67,NFLX,2023-01-19,2023-02-27,324.666705,321.76484500000004,255.0,0.0,83038.37980432498,81803.88536857501,-1234.4944357499771,-0.014866552534611,Supertrend down,-1.49%
68,68,MELI,2023-02-28,2023-03-23,1199.7379349999999,1198.0815200000002,68.0,0.0,81826.92611873998,81225.13472992001,-601.7913888199691,-0.007354442081164092,Leader rotation,-0.74%
69,69,NVDA,2023-03-24,2023-06-14,272.06701499999997,405.58644000000004,298.0,11.92,81319.19838140998,120502.16484264002,39194.88646123004,0.481988106638668,Leader rotation,+48.20%
70,70,META,2023-06-15,2023-06-21,274.06995,281.687055,438.0,0.0,120402.76601429998,123008.79329973,2606.027285430013,0.021644247650593806,Leader rotation,+2.16%
71,71,NVDA,2023-06-22,2023-08-11,425.27644499999997,414.79618500000004,288.0,0.0,122847.05500847998,119102.91737616001,-3744.1376323199656,-0.030478041431774794,Supertrend down,-3.05%
72,72,NVDA,2023-08-31,2023-09-22,497.0097,413.01782000000003,239.0,9.56,119141.67425489999,98415.12520306002,-20716.989051839977,-0.1738853275430443,Supertrend down,-17.39%
73,73,SGEN,2023-09-25,2023-11-17,214.60593,211.41680000000002,458.0,0.0,98584.38448781999,96538.40771680001,-2045.9767710199812,-0.020753558300835806,Supertrend down,-2.08%
74,74,NVDA,2023-11-20,2023-12-06,496.32527999999996,469.07615685,194.0,7.76,96575.96563295998,90727.7721056133,-5840.433527346686,-0.06047502076803912,Supertrend down,-6.05%
75,75,ZS,2023-12-07,2023-12-13,199.19641499999997,210.95979000000003,455.0,0.0,90906.27193147497,95698.74433665002,4792.472405175053,0.05271883120218157,Leader rotation,+5.27%
76,76,PDD,2023-12-14,2024-01-31,147.160365,123.41257,648.0,0.0,95645.99626956,79731.43132392001,-15914.564945639984,-0.16639028883956442,Supertrend down,-16.64%
77,77,CRWD,2024-02-01,2024-02-23,298.06491,311.74043,266.0,0.0,79523.12185817999,82674.18551686,3151.06365868001,0.039624496436389434,Supertrend down,+3.96%
78,78,META,2024-02-26,2024-03-05,486.612555,491.7825,169.0,0.0,82484.23436038499,82861.90877250001,377.6744121150259,0.0045787466543596445,Leader rotation,+0.46%
