trade_no,trade_id,symbol,entry_time,exit_time,entry_price,exit_price,quantity,corporate_action_cash,entry_cost,exit_proceeds,pnl_cash,pnl_pct,exit_reason,pnl_pct_display
37,37,LRCX,2020-02-06,2020-02-20,327.793,330.124275,127.0,0.0,41671.340711,41883.857142075,212.51643107500422,0.005099822262711662,Leader rotation,+0.51%
38,38,SGEN,2020-02-20,2020-02-28,120.147195,103.94514,350.0,0.0,42093.569768249996,36344.418201,-5749.151567249995,-0.13658028052508908,Supertrend down,-13.66%
39,39,REGN,2020-04-15,2020-04-20,528.18915,563.5930950000001,68.0,0.0,35952.779062199996,38286.00612954001,2333.2270673400126,0.06489698788801324,Leader rotation,+6.49%
40,40,TSLA,2020-04-20,2020-06-02,736.7303527500001,889.77964725,52.0,0.0,38348.288321342996,46222.273115343,7873.984794000004,0.20532819426043813,Leader rotation,+20.53%
41,41,ZM,2020-06-02,2020-07-06,211.49687000000003,263.42316,219.0,0.0,46364.13234453,57631.982367959994,11267.850023429994,0.24302945949034593,Leader rotation,+24.30%
42,42,TSLA,2020-07-06,2020-07-23,1283.71229775,1669.7157750000001,44.0,0.0,56539.824442101,73394.02660590001,16854.20216379901,0.29809434907351684,Leader rotation,+29.81%
43,43,MRNA,2020-07-23,2020-08-14,83.03419000000001,67.68567,898.0,0.0,74639.26732262,60720.94992834001,-13918.317394279991,-0.18647446436095894,Supertrend down,-18.65%
44,44,TSLA,2020-08-14,2020-08-19,1674.14694225,1854.74200275,36.0,0.0,60329.55921092099,66703.941386901,6374.382175980012,0.10565935271786486,Leader rotation,+10.57%
45,45,ZM,2020-08-19,2020-08-24,276.19074,291.3885,242.0,0.0,66904.99723908,70445.500983,3540.5037439200096,0.052918375159157094,Leader rotation,+5.29%
46,46,TSLA,2020-08-24,2020-08-31,427.59490800000003,442.16454555,165.0,0.0,70623.71297981999,72884.19286573425,2260.479885914261,0.03200737812468413,Leader rotation,+3.20%
47,47,ZM,2020-08-31,2020-09-09,305.682055,367.716375,238.0,0.0,72825.08141909,87428.98075275,14603.899333659996,0.20053392387738267,Supertrend down,+20.05%
48,48,ZM,2020-10-13,2020-10-26,496.71700000000004,517.6273050000001,176.0,0.0,87509.614192,91011.30327432002,3501.689082320023,0.040014907100803354,Leader rotation,+4.00%
49,49,ALGN,2020-10-26,2020-11-09,465.27501500000005,498.2445,195.0,0.0,90819.356552925,97060.5198225,6241.163269575001,0.0687206285802957,Leader rotation,+6.87%
50,50,PDD,2020-11-09,2020-11-19,113.19919,133.70356350000003,858.0,0.0,97222.02992501999,114602.93982551704,17380.90990049705,0.17877542686468928,Leader rotation,+17.88%
51,51,TSLA,2020-11-19,2021-02-16,494.706,813.50109945,231.0,0.0,114391.363086,187730.83521897704,73339.47213297704,0.6411277054006259,Leader rotation,+64.11%
52,52,MRNA,2021-02-16,2021-02-25,183.41325500000002,149.95071000000002,1023.0,0.0,187819.391624865,153246.17675367,-34573.214871195,-0.18407691864026854,Supertrend down,-18.41%
53,53,AMAT,2021-04-06,2021-05-11,144.67134000000001,119.34,1059.0,0.0,153360.15600906,126254.67894,-27105.477069060013,-0.1767439325469825,Supertrend down,-17.67%
54,54,MRNA,2021-06-11,2021-07-08,213.06545000000003,214.47387,578.0,0.0,123274.98193010001,123841.93096314001,566.9490330400004,0.00459905995655685,Leader rotation,+0.46%
55,55,AMAT,2021-07-08,2021-07-15,132.36401999999998,134.23761,957.0,0.0,126799.03950713997,128336.92737723,1537.887870090024,0.012128545106238287,Leader rotation,+1.21%
56,56,ALXN,2021-07-15,2021-07-16,185.49464,179.10945,691.0,0.0,128304.97303623999,123640.86532005,-4664.107716189988,-0.03635172983413981,Supertrend down,-3.64%
57,57,MRNA,2021-07-16,2021-08-31,278.44306000000006,373.84249500000004,444.0,0.0,123752.34735864,165820.08171222,42067.73435358,0.33993483963310833,Supertrend down,+33.99%
58,58,NVDA,2021-08-31,2021-09-29,228.198225,208.24332750000002,725.0,0.0,165609.156838125,150825.43602506252,-14783.720813062479,-0.08926874029986676,Supertrend down,-8.93%
59,59,TEAM,2021-10-19,2021-11-05,417.2825,444.91941,361.0,0.0,150789.6214825,160455.29110299,9665.669620490022,0.0641003639737352,Leader rotation,+6.41%
60,60,NVDA,2021-11-05,2021-12-14,303.53028500000005,275.466555,528.0,21.12,160424.25447048002,145300.89469896004,-15102.239771519991,-0.09413937949326101,Supertrend down,-9.41%
61,61,PANW,2022-03-23,2022-03-30,591.9271917,610.2743283000001,245.0,0.0,145167.18412846647,149367.69322306654,4200.509094600071,0.028935665590115844,Leader rotation,+2.89%
62,62,TSLA,2022-03-30,2022-04-05,1097.1713344500001,1130.05044945,136.0,0.0,149364.51678668518,153533.1742640748,4168.657477389614,0.027909289080639388,Leader rotation,+2.79%
63,63,DLTR,2022-04-05,2022-05-02,157.028935,162.1035,979.0,0.0,153885.05869236498,158540.6271735,4655.5684811350075,0.030253544565636226,Supertrend down,+3.03%
64,64,VRTX,2022-07-21,2022-08-23,287.361845,290.582955,551.0,0.0,158494.712971595,159951.096996795,1456.3840252000082,0.009188849254933906,Leader rotation,+0.92%
65,65,TMUS,2022-08-23,2022-08-26,145.37519000000003,146.28100500000002,1100.0,0.0,160072.62170900003,160748.19639450003,675.5746855000034,0.004220426193357163,Leader rotation,+0.42%
66,66,CEG,2022-08-26,2022-10-17,83.19507,82.76229000000001,1930.0,0.0,160727.05158509998,159571.4884803,-1155.5631047999777,-0.007189599344999742,Supertrend down,-0.72%
67,67,PDD,2022-11-14,2023-01-17,67.96174500000001,93.9852225,2346.0,0.0,159597.69202376998,220268.84265301502,60671.150629245036,0.38015055142657617,Leader rotation,+38.02%
68,68,NFLX,2023-01-17,2023-02-24,332.90094,317.54385,661.0,0.0,220267.56886133997,209686.58836515,-10580.980496189964,-0.04803694230107369,Supertrend down,-4.80%
69,69,MELI,2023-02-24,2023-03-22,1169.647875,1217.4669000000001,179.0,0.0,209576.336594625,217708.64852490003,8132.311930275027,0.03880357898422959,Leader rotation,+3.88%
70,70,NVDA,2023-03-22,2023-06-13,265.703375,399.64977000000005,819.0,32.76,217828.67518912497,326985.84846837004,109189.93327924507,0.5012651946969024,Leader rotation,+50.13%
71,71,META,2023-06-13,2023-06-20,276.39184,277.19698500000004,1181.0,0.0,326745.18180304,327042.269645715,297.08784267504234,0.000909234042980156,Leader rotation,+0.09%
72,72,NVDA,2023-06-20,2023-08-10,432.34489,419.28120000000007,756.0,0.0,327179.58957684,316659.61061280005,-10519.97896403994,-0.03215353065772231,Supertrend down,-3.22%
73,73,NVDA,2023-08-30,2023-09-21,493.13742,413.542935,641.0,25.64,316417.18730621994,264815.940313665,-51575.60699255491,-0.1629987531070537,Supertrend down,-16.30%
74,74,SGEN,2023-09-21,2023-11-16,207.63575,211.420755,1275.0,0.0,265000.31683125,269291.90116237506,4291.584331125079,0.01619463849116043,Supertrend down,+1.62%
75,75,NVDA,2023-11-16,2023-11-22,489.467345,495.77814,550.0,0.0,269476.24678974994,272405.299023,2929.052233250055,0.010869426408240512,Leader rotation,+1.09%
76,76,ZS,2023-11-22,2023-12-01,194.091665,196.801605,1402.0,0.0,272388.63084433,275639.93435979,3251.303515459993,0.011936267330181272,Leader rotation,+1.19%
77,77,PDD,2023-12-01,2024-01-30,144.10826,124.36222500000001,1911.0,0.0,275666.27574485994,237418.555763025,-38247.71998183493,-0.13874646029329574,Supertrend down,-13.87%
78,78,CRWD,2024-01-30,2024-02-22,302.6555,303.25288500000005,783.0,0.0,237216.23575649998,237209.56194604503,-6.673810454958584,-2.8133868804069984e-05,Supertrend down,-0.00%
79,79,META,2024-02-22,2024-02-28,482.88132,482.33250000000004,491.0,0.0,237331.82284811998,236588.4322425,-743.390605619963,-0.0031322837228435763,Leader rotation,-0.31%
80,80,NVDA,2024-02-28,2024-03-14,780.4691000000001,890.843265,302.0,12.08,235937.3698682,268765.63136396994,32840.34149576994,0.1391909281438346,Leader rotation,+13.92%
81,81,CRWD,2024-03-14,2024-04-22,334.8315,284.16843,804.0,0.0,269473.73052599997,228242.94630228,-41230.784223719966,-0.15300483703268375,Supertrend down,-15.30%
82,82,NVDA,2024-05-07,2024-06-25,91.599039,120.53340000000001,2490.0,24.900000000000002,228309.68871711,299828.037834,71543.24911689005,0.31336054776692635,Supertrend down,+31.34%
83,83,ARM,2024-06-25,2024-07-26,152.403635,154.50552000000002,1965.0,0.0,299772.61591777497,303299.74345320003,3527.1275354250683,0.011766009795879828,Supertrend down,+1.18%
84,84,AVGO,2024-08-16,2024-08-20,165.374585,166.13122500000003,1832.0,0.0,303269.20595971995,304048.05179580004,778.8458360800869,0.0025681665687598,Leader rotation,+0.26%
85,85,NVDA,2024-08-20,2024-09-04,129.1062,104.830245,2353.0,0.0,304090.6754886,246418.90091851502,-57671.77457008496,-0.18965321602650398,Supertrend down,-18.97%
86,86,TTD,2024-09-04,2024-09-20,102.75204500000001,108.9972,2396.0,0.0,246440.09371982,260896.1339088,14456.040188979998,0.058659449324082846,Leader rotation,+5.87%
87,87,CEG,2024-09-20,2024-10-30,236.45338,265.41216000000003,1102.0,0.0,260832.19638475997,292191.71611968003,31359.51973492006,0.1202287147429486,Leader rotation,+12.02%
88,88,NVDA,2024-10-30,2024-11-08,140.30747,147.95176500000002,2081.0,0.0,292271.82491506997,307579.73534203507,15307.9104269651,0.05237559395748592,Leader rotation,+5.24%
89,89,TSLA,2024-11-08,2024-11-19,300.78527,333.91332,1021.0,0.0,307408.86243067,340584.57422028005,33175.71178961004,0.10792047934887417,Leader rotation,+10.79%
90,90,APP,2024-11-19,2024-12-11,296.90404,325.79820000000007,1146.0,0.0,340592.28186984,372991.37246280006,32399.09059296007,0.09512573336979391,Supertrend down,+9.51%
91,91,TSLA,2024-12-11,2025-01-02,411.95335,387.95445000000007,904.0,0.0,372778.23422839993,350360.1119772001,-22418.12225119985,-0.06013795922823206,Supertrend down,-6.01%
92,92,MRVL,2025-01-23,2025-01-24,124.03848,125.98326000000002,2794.0,0.0,346910.07663311996,351645.23121156,4735.154578440066,0.013649515818036528,Leader rotation,+1.36%
93,93,PLTR,2025-01-24,2025-02-05,79.484775,101.22021000000001,4468.0,0.0,355493.1126747,451799.64638172,96306.53370702005,0.2709097033762986,Leader rotation,+27.09%
94,94,APP,2025-02-05,2025-02-26,379.445535,326.66341500000004,1189.0,0.0,451611.9018561149,388014.397634565,-63597.5042215499,-0.14082335731225326,Supertrend down,-14.08%
95,95,PLTR,2025-04-28,2025-08-20,114.40579000000001,151.46235000000001,3389.0,0.0,388108.94353231,512792.59824585007,124683.65471354005,0.3212594215911444,Supertrend down,+32.13%
96,96,IDXX,2025-08-20,2025-09-10,641.3280100000001,649.318995,798.0,0.0,512291.53173198,517638.40145198995,5346.8697200099705,0.010437162023609892,Leader rotation,+1.04%
97,97,AVGO,2025-09-10,2025-09-15,353.45336,357.890715,1464.0,0.0,517973.1747590399,523428.05475324,5454.879994200135,0.01053120173016242,Leader rotation,+1.05%
98,98,WBD,2025-09-15,2025-10-01,18.8682075,19.422585,27727.0,0.0,523681.94814185245,537991.484280705,14309.536138852534,0.027324860422678565,Leader rotation,+2.73%
99,99,PLTR,2025-10-01,2025-10-28,182.31726,188.43786,2947.0,0.0,537826.25418522,554771.04704658,16944.79286136001,0.03150607232261371,Leader rotation,+3.15%
100,100,AMD,2025-10-28,2025-11-20,260.56527,231.42015,2127.0,0.0,554776.5516192899,491738.42839095,-63038.123228339886,-0.11362795173001328,Supertrend down,-11.36%
101,101,WDC,2026-01-28,2026-05-11,264.898975,486.340335,1855.0,231.875,491878.98622362496,901259.160103575,409612.04887995,0.8327496403632222,Leader rotation,+83.27%
102,102,MU,2026-05-11,2026-05-27,797.34139,950.40387,1129.0,0.0,901098.6277393099,1071932.9632607698,170834.33552145993,0.18958450303054142,Leader rotation,+18.96%
103,103,LITE,2026-05-27,2026-07-06,906.508525,724.9905,1181.0,0.0,1071657.1545930249,855357.5667195,-216299.58787352487,-0.2018365546728117,Supertrend down,-20.18%
